beta1_1 beta2_1 beta1_2 beta2_2 beta1_3 beta2_3 
-0.1574512 3.975799 -10.63706 -4.528787 -22.65645 -4.698455 
-0.2836778 4.000975 -10.28076 -2.986931 -23.51332 -3.132329 
-0.007248077 3.972229 -9.464993 -4.804573 -23.16737 -5.44901 
0.05992474 3.948507 -10.32235 -4.345689 -23.26474 -2.863843 
0.05276451 3.900009 -8.583455 -5.416254 -23.18485 -4.215304 
-0.03222846 3.954654 -9.023319 -4.620013 -18.27942 -7.048394 
-0.2277842 3.920322 -8.918581 -5.928744 -18.51433 -6.229742 
0.04748513 3.971466 -9.084254 -5.613189 -23.03779 -4.400265 
-0.1047613 3.927163 -8.948952 -6.275697 -23.0058 -4.210062 
0.02241279 3.897853 -9.126859 -5.774892 -23.68942 -4.058655 
-0.1106186 3.990746 -8.663886 -2.683722 -16.81078 -12.12657 
-0.2755207 3.933976 -8.011827 -4.132856 -8.169241 -17.08821 
-0.07950192 4.024316 -10.20804 -4.776608 -17.14012 -10.41763 
-0.08158669 3.97795 -9.134221 -5.465052 -21.91795 -5.753442 
0.01781716 3.958326 -9.695682 -4.63645 -28.18622 4.596254 
-0.2023553 3.946351 -8.9976 -4.955373 -16.57419 -12.6614 
0.01464409 4.039985 -10.19699 -4.101026 -24.09743 -3.552072 
0.03523127 3.918532 -9.356156 -6.017221 -23.42512 -4.233828 
0.007531546 4.023406 -9.282895 -5.545014 -17.94243 0.9186623 
-0.001339868 3.932273 -9.998728 -4.773265 -24.58651 -4.481918 
-0.01449119 3.974675 -11.15244 -6.703934 -3.176918 -1.598078 
0.9382142 3.969393 -13.79045 -4.831872 7.446935 -10.07696 
0.1686249 3.929169 -15.16745 -4.486888 -5.072536 -14.88226 
-0.2043739 4.001752 -9.714679 -4.195367 -19.36435 -8.004383 
-0.1493007 4.015852 -9.196129 -5.395173 -22.06703 -5.149358 
-0.2320968 3.920765 -8.993098 -4.941956 -23.24378 -3.983945 
0.01727615 3.995411 -8.159822 -4.170161 -20.85355 -3.483127 
0.01090461 3.998724 -8.5716 -4.814792 -22.45559 -4.674108 
0.1057798 3.95169 -8.979033 -5.663941 -21.50802 -4.868647 
0.0640472 4.033857 -9.770945 -5.058955 -23.88641 -3.975436 
0.03954087 3.946187 -8.628045 -5.722364 -23.36671 -3.139468 
-0.087579 3.935558 -9.220408 -5.720633 -23.75841 -3.341888 
-0.0911019 3.908116 -9.289618 -4.258676 -21.7542 -5.129158 
-0.1130498 4.025559 -8.570751 -7.738875 -13.56039 -6.393777 
-0.02279968 3.974086 -10.49625 -3.795616 -22.71141 -4.167583 
-0.1708356 3.885169 -8.799305 -5.952258 -22.14997 -4.50927 
-0.02602526 3.96563 -12.40166 -3.931853 -8.031711 -1.353146 
0.6879738 4.001616 -9.766749 -3.53253 -6.563888 -5.624313 
0.3570323 4.050967 -10.6756 -5.403221 -22.46286 6.380149 
-0.08437541 3.970244 -9.166492 -6.06001 -13.08809 -2.667282 
-0.09350671 3.956362 -9.703118 -5.209065 -18.33869 -8.417386 
-0.1098657 3.948341 -8.700018 -5.681738 -23.45362 -3.363784 
0.09134217 3.949841 -8.948331 -5.189087 -25.99166 -2.463131 
0.2577433 4.028564 -9.757989 -4.786387 -23.0425 -4.757249 
-0.1421862 4.028497 -10.59867 -3.036362 -20.39821 -4.851052 
-0.08681225 4.008978 -9.196086 -2.585773 -23.80072 -3.410315 
-0.02128172 3.943564 -5.518989 -3.361401 -20.76824 -4.567548 
-0.07622956 3.95147 -8.277587 -6.556291 -22.12456 -5.201087 
-0.1128398 3.932104 -8.825797 -4.721621 -23.51061 -3.759282 
-0.02065013 4.002964 -9.683952 -3.831814 -23.02127 -4.146623 
0.001043491 3.948144 -9.858318 -3.151445 -22.36292 -5.136651 
-0.1147552 3.920963 -9.755702 -5.201469 -22.96829 -5.839883 
-0.07084423 3.959783 -10.14595 -5.770098 -6.465054 -6.658539 
0.03969023 4.007361 -8.793321 -4.690575 -16.09568 -13.742 
-0.2030269 3.961658 -9.990457 -5.377978 -11.64087 -5.685788 
-0.1409189 3.926416 -9.538527 -5.290147 -12.39081 -9.787533 
-0.1366603 3.928437 -10.00069 -4.877349 -14.38328 -9.032256 
-0.06914657 3.925998 -9.081016 -4.619341 -14.86967 -9.666596 
-0.02043161 3.915664 -7.204902 -3.682032 -11.40832 -16.13283 
-0.3434987 3.955017 -8.763963 -5.66372 -15.40354 -3.018621 
-0.1849566 3.91954 -9.046538 -5.478652 -4.921269 -14.81317 
-0.1959205 3.968311 -8.391186 -2.549417 -19.58131 -10.46768 
-0.05970774 3.899071 -9.350123 -4.034835 -16.78974 -8.35426 
-0.05956621 3.96224 -9.743377 -5.726089 -16.35007 -4.213123 
0.108252 3.954617 -9.160939 -7.714694 -22.33759 -3.159328 
-0.03339654 3.980973 -9.719779 -5.37716 -21.97866 -4.408269 
0.8658484 3.97342 -8.016368 -7.058649 -24.60501 -3.496735 
-0.09696991 4.007535 -9.093893 -4.624783 -23.74371 -4.779289 
-0.173131 4.051581 -9.653923 -4.255708 -21.09713 -6.121488 
-0.2324426 4.012892 -9.536466 -5.001359 -22.9897 -4.235024 
-0.1113185 3.972443 -10.20836 -5.732306 -22.89758 -4.186885 
-0.005551074 3.914217 -10.25087 -5.668622 -18.50724 -6.57769 
-0.1154545 3.977215 -8.594917 -5.243661 -16.02371 -5.143532 
0.2501265 3.937785 -8.975888 -6.144941 -24.80972 -5.152621 
-0.175508 3.863962 -7.566976 -4.038601 -22.81159 -4.323608 
0.001678038 3.98685 -9.279195 -4.550898 -20.83455 -6.189251 
-0.06769079 3.95876 -8.888858 -6.103054 -23.71297 -4.840128 
0.5987627 3.973179 -9.294507 -4.973759 -21.61143 -7.570506 
-0.2222761 3.953415 -8.44851 -4.359549 -15.9858 -3.652157 
0.007422582 3.97837 -6.177659 -4.248268 -1.094522 -4.334722 
-0.2033172 3.929331 -8.71238 -1.881592 -23.04019 -4.207496 
-0.1126288 3.932061 -9.699519 -4.459451 -24.2072 -3.762749 
-0.02342709 3.940981 -9.850016 -5.048158 -24.32407 -4.064121 
0.01303686 3.965144 -11.02845 -4.869906 -21.30132 -5.000315 
-0.07960446 4.031168 -10.23164 -3.971189 -23.98947 -2.117793 
-0.1513192 4.012727 -9.900147 -3.956719 -23.43835 -4.471234 
0.1899865 4.006128 -10.51634 -3.796193 -21.95086 -5.72346 
