"beta1_1" "beta2_1" "beta1_2" "beta2_2"
-29.74009 -3.923675 22.30179 3.349842
-30.12883 -3.736645 22.54091 3.839373
-29.88493 -3.701581 22.08342 3.856596
-29.91486 -4.002409 22.35976 3.578049
-29.9266 -3.927691 22.30148 3.446323
-29.85394 -3.928817 22.29359 3.74459
-29.74991 -3.900028 22.03288 4.029212
-29.64594 -3.854598 22.54146 4.270701
-29.80511 -4.000592 22.25383 3.877286
-30.07448 -3.893622 22.42177 3.685961
-30.17839 -3.782209 22.0445 4.165724
-30.36933 -3.836633 21.99556 3.731177
-30.23239 -4.025611 22.52188 3.729859
-29.88065 -3.924969 21.67948 3.704858
-30.01227 -3.705491 21.79696 3.846247
-30.11806 -3.780773 22.00206 3.974327
-30.38379 -3.978671 21.66119 3.958963
-29.984 -3.820937 21.83862 3.987133
-29.81226 -3.8549 22.54494 3.891153
-29.53627 -3.792283 21.3397 3.825078
-29.857 -3.726017 21.78917 3.617436
-29.56522 -3.961426 22.32476 3.86368
-29.5873 -3.848783 22.47013 4.02575
-29.86756 -3.810393 22.0446 4.336363
-29.82199 -3.800155 22.64486 4.12083
-30.14793 -3.804339 22.81951 3.958983
-29.87113 -3.814591 22.49517 3.907913
-30.03542 -4.106007 22.64972 3.990267
-29.94296 -3.803175 22.1881 3.720864
-29.77449 -3.599046 22.99854 3.686038
-29.77316 -3.916418 22.12396 4.09287
-29.72732 -3.816394 21.79833 3.816023
-30.15 -3.835532 21.83674 3.952001
-29.84211 -3.915761 22.23688 3.721975
-30.19763 -4.036039 22.35756 3.932561
-30.27679 -3.785932 21.96681 3.490499
-30.14939 -3.799095 21.91862 3.933343
-29.76204 -3.802208 22.56788 3.65234
-29.70141 -3.833776 22.04006 3.680297
-30.01462 -3.718826 22.16479 3.953735
-29.95097 -3.838848 22.563 3.517976
-29.88455 -3.977921 22.27916 3.6602
-29.62394 -3.797454 22.03105 3.616206
-29.68973 -3.746168 22.53358 4.012522
-29.62117 -3.830942 22.30043 3.758516
-29.90941 -3.890698 22.89929 3.712108
-29.76799 -3.865537 22.40015 3.793065
-29.79952 -3.835809 22.6939 3.876494
-29.70505 -3.863262 22.66656 3.590601
-29.58535 -3.897312 22.42058 3.915905
-29.84023 -3.621069 21.97631 3.714122
-29.66024 -3.971234 22.16372 3.85763
-29.7033 -3.822291 22.0511 3.595587
-29.53717 -3.859389 22.27708 3.859257
-29.6632 -3.819891 22.5242 3.71703
-29.508 -3.784926 23.12935 3.788095
-29.61414 -3.90444 22.46739 3.814379
-29.7223 -4.080679 22.1351 3.580893
-29.79543 -3.86157 23.13225 3.998218
-29.53003 -3.839822 22.46084 3.562698
-29.73244 -3.801603 22.11319 3.402809
-29.83563 -3.811612 22.02794 3.785573
-29.82105 -3.941075 23.0766 3.828034
-29.8723 -3.789566 21.87111 3.813068
-29.86952 -3.784818 22.56478 3.85544
-29.8588 -3.771074 22.05477 3.237998
-29.68188 -3.742687 22.18649 3.764723
-29.63946 -3.904847 22.19627 3.632517
-29.60814 -3.955246 22.48827 3.694173
-29.49885 -3.782835 21.53795 3.102122
-29.70581 -3.826083 22.1212 3.67464
-30.01742 -3.789179 22.39067 3.674505
-30.07269 -3.833008 22.55293 3.650136
-30.08267 -3.897904 22.03845 3.607395
-29.90745 -3.883334 22.47518 3.487533
-29.56071 -3.836339 22.04744 4.109784
-29.8958 -3.796003 21.52298 3.823876
-29.92687 -3.949408 21.87699 3.766586
-29.94006 -3.883853 21.97391 3.727338
-30.08925 -3.642087 22.32654 3.984737
-30.30522 -3.676965 22.34078 3.891825
-30.0607 -3.85878 22.35258 3.839929
-30.34524 -3.998775 21.82031 3.813051
-30.00418 -3.957951 22.24771 3.831832
-29.80542 -3.953799 22.45781 3.578905
-30.00595 -3.944174 22.88932 4.047827
-30.08411 -3.823662 21.92576 4.067989
-29.72937 -3.932805 22.09714 3.276319
-29.91062 -3.812294 22.52626 3.821225
-29.87842 -3.743822 22.17062 3.758012
-29.8479 -3.805449 21.83969 3.835952
-29.74207 -3.887262 22.06293 3.715318
-29.77069 -4.008167 23.08597 3.65422
-29.91226 -3.896866 22.14769 3.912876
-29.8575 -3.805046 22.60251 3.861773
-29.72315 -3.93394 22.33859 4.094414
-30.03405 -3.786335 22.20211 3.950771
-30.00033 -3.769154 21.98524 3.806531
-29.94477 -3.724679 21.71721 4.005233
-29.80788 -3.786264 22.06588 3.893584
-29.84147 -4.024389 22.21838 3.653655
-29.7213 -3.759247 22.5457 3.787968
-29.90687 -3.879794 21.55466 3.664539
-29.75551 -3.875912 21.91546 3.864273
-30.02604 -3.790944 22.51209 3.946274
-29.59788 -3.977157 22.04694 3.612142
-30.06196 -3.838497 22.47755 4.089849
-30.30267 -3.742633 22.30855 3.60273
-30.18019 -3.856099 21.82151 4.045259
-29.88752 -3.864832 21.74542 3.94479
-29.87661 -3.961791 21.9763 3.52717
-29.64258 -3.624658 22.02401 3.590361
-29.71345 -3.80708 22.38704 3.663784
-29.75587 -3.915247 22.66252 3.729693
-30.0681 -3.741928 22.15956 3.879381
