Delta_1 Delta_2 Delta_3 
-0.01683453 13.90806 -0.007521421 
-0.07259862 0.5560633 -0.006489175 
-0.09468936 -4.235374 -0.02340456 
0.02311294 2.007838 -0.008468958 
-0.07217683 -11.08289 -0.02334735 
0.1230407 11.11082 -0.007158479 
-0.05990481 26.37858 0.0002344287 
-0.05426142 0.8863125 0.02896864 
-0.001403065 -15.7549 -0.003747176 
-0.07447392 4.516515 0.006369509 
-0.08847104 11.24431 0.015261 
0.05277279 5.423809 -0.01905661 
-0.05130042 9.168681 -0.01624374 
-0.04504386 9.060926 -0.0318797 
-0.06866746 6.132703 -0.01591454 
0.02037491 -14.61362 -0.0144968 
0.0183768 -13.38013 -0.00136187 
-0.04405239 -5.826584 -0.016318 
-0.04766397 -6.66257 -0.01485049 
0.0121819 -5.246359 -0.009335897 
-0.1298307 2.9797 -0.005639632 
0.00310151 -2.055463 -0.007269855 
-0.02569526 -5.891741 0.02006313 
-0.07001215 1.91255 -0.01187943 
-0.05009971 -12.45117 0.01116903 
-0.01959543 10.21721 -0.02378872 
-0.04387988 -7.931202 -0.01908175 
0.05171512 -0.3884847 -0.02247258 
0.07435384 4.685792 0.01091784 
-0.06835052 -8.852584 -0.01437207 
0.01628133 11.08615 -0.01507378 
0.01541547 11.6674 -0.0009130042 
-0.01602026 -0.111494 0.001320862 
0.06698346 14.97864 0.003721177 
0.1020313 21.83868 0.01282934 
-0.01315255 16.44507 -0.005188354 
-0.06989667 -16.87309 0.02652712 
-0.002027299 2.361002 0.01002994 
-0.03176821 -12.92054 -0.02627809 
-0.01758186 -14.94135 0.005951595 
0.0323385 -12.43392 -0.01736152 
0.007173939 16.04062 -0.01456463 
0.01085122 7.476148 -0.003144367 
-0.0315065 -5.762655 -0.0228493 
0.1046125 -3.48364 0.0298251 
-0.04447093 -0.8421485 0.01333189 
0.05186321 -0.05319778 -0.006074455 
0.02692738 5.771255 -0.008669573 
0.1325009 -5.430961 -0.01183619 
-0.03981826 0.6619365 -0.006028633 
-0.01589779 1.234327 0.0272543 
-0.002254178 -19.10843 -0.0005981582 
-0.009246998 11.33141 -0.01823707 
-0.1090941 6.611182 -0.02775688 
-0.02993434 4.711297 -0.01679913 
-0.0618151 -7.495613 -0.02563923 
-0.0212943 -0.3805856 0.003805191 
-0.07346112 17.45242 0.0007274072 
-0.00754873 5.38112 -0.001949705 
-0.007580446 -6.768321 -0.002986376 
-0.03359962 15.37831 -0.01015235 
-0.054364 7.202751 -0.01062049 
-0.01836796 -10.45675 -0.00260083 
0.0004151055 -5.354924 0.01208148 
-0.05669912 -7.232586 -0.0184164 
-0.05402871 1.028196 -0.01292164 
-0.02697054 16.97318 -0.0009748123 
0.009567004 -2.532174 -0.01365101 
-0.1048836 -5.67183 0.008794918 
-0.1015133 4.020943 -0.03354853 
-0.007010844 12.94514 -0.01876634 
-0.06646686 -7.374696 0.01509855 
-0.0497184 5.772714 -0.0118955 
-0.07183774 -2.687608 0.01815934 
0.008279559 9.812659 0.01226039 
-0.02606674 -3.92396 0.01217625 
0.0264107 3.701097 1.383518e-05 
-0.002753223 10.10652 -0.00576086 
-0.03294846 4.046004 0.01853642 
-0.03398115 3.607639 -0.01194156 
-0.09753775 1.897917 -0.001737319 
0.005770571 -20.93191 0.005707404 
-0.07993652 -5.355885 0.01963565 
0.04195861 0.8119715 -0.02196759 
-0.01119804 1.617745 -0.001745731 
-0.0657573 10.54843 -0.006654524 
0.0141992 -8.829969 -0.00589905 
-0.04823728 -5.75455 -0.004876447 
-0.02443329 -4.447793 -0.009517716 
-0.03784104 19.98054 0.01357878 
-0.07152264 -6.601979 -0.02236768 
-0.07290507 -3.470987 0.005929813 
0.07716864 20.60991 -0.007754993 
-0.002778666 -9.373683 -0.01156223 
-0.0155332 13.06487 -0.01942822 
0.02716905 -0.4628763 -0.01637336 
-0.1352471 14.1328 -0.001791946 
-0.09438473 3.413072 -0.01049253 
-0.09390819 13.18339 -0.02161948 
-0.1025319 -4.79324 0.01375737 
-0.03562788 -7.982098 0.009071201 
-0.06978292 25.67801 -0.0131528 
-0.04387214 -2.324062 -0.001916665 
-0.003061249 2.213211 -0.00403551 
-0.09065514 3.066749 -0.02305882 
-0.06625231 -8.954144 -0.006980994 
-0.03689448 -6.290271 5.74459e-05 
-0.06565715 8.517902 -0.03679017 
-0.05617852 -6.787448 0.02220757 
