"Delta_1" "Delta_2"
-2.949264 4.628084
-2.886412 4.53352
-2.748917 2.948568
-2.846665 5.513487
-2.808387 4.298996
-2.707563 4.477772
-2.74983 4.809692
-2.78074 4.162044
-2.727249 3.439339
-2.826871 3.430165
-2.664176 3.694186
-2.483704 4.570384
-2.521929 3.749317
-2.503375 4.407392
-2.482897 4.634017
-2.412374 4.679124
-2.376854 3.561687
-2.470944 3.394568
-2.444609 2.956604
-2.392694 3.350665
-2.321639 4.325893
-2.474087 3.618341
-2.550712 3.48316
-2.686605 4.212664
-2.729862 4.264581
-2.575991 4.897779
-2.767907 4.591487
-2.778122 4.486287
-2.838155 5.495365
-2.783888 4.500535
-2.68414 4.578045
-2.86645 4.910646
-2.906143 6.179654
-2.870283 3.489966
-2.686145 3.702796
-2.794859 4.514871
-2.667158 4.454793
-2.941767 4.019907
-2.718188 5.216603
-2.762364 4.152477
-2.786706 4.653253
-2.682145 3.767064
-2.627995 4.415306
-2.6631 4.343132
-2.564928 3.760295
-2.436607 3.463835
-2.474282 3.474567
-2.48856 3.438323
-2.406192 3.220897
-2.520257 3.276637
-2.617376 3.705184
-2.683757 3.390274
-2.774468 3.359533
-2.713512 4.410605
-2.745487 4.96249
-2.880973 4.367954
-3.00551 5.517021
-2.886377 5.468998
-2.855934 3.97662
-2.975395 4.421979
-2.90263 3.57945
-2.918924 5.182074
-3.107747 5.697593
-3.184008 5.63666
-3.226697 5.491463
-3.232219 6.80218
-3.244912 6.270357
-3.058956 4.780473
-2.714407 4.57035
-2.705586 4.124793
-2.800831 4.949056
-2.875097 4.6609
-2.874968 3.817092
-2.768616 4.296158
-2.782782 4.866599
-2.80135 4.126507
-2.674681 5.272923
-2.723516 3.614755
-2.622969 4.122477
-2.685512 4.5855
-2.766653 4.42225
-2.661109 4.237067
-2.785206 4.230606
-2.727975 3.794107
-2.770931 3.182182
-2.881465 5.384709
-2.928606 5.150528
-2.940014 5.25242
-3.028642 4.899446
-2.970734 4.084076
-3.009575 4.436492
-2.909376 4.870107
-2.866715 6.155886
-3.027524 5.352911
-2.936714 4.981375
-2.844028 4.484455
-2.770443 4.631654
-2.888412 5.024882
-2.872346 5.581987
-2.873416 5.33879
-2.902383 4.308833
-2.967214 2.750415
-2.982907 5.179516
-3.062299 4.492468
-3.054608 5.496662
-3.000645 5.116688
-3.047886 4.679713
-2.952879 5.213376
-2.981851 4.961839
-2.986995 4.474582
-3.093788 5.714734
-2.926968 4.851041
-2.942365 5.566715
-2.965928 4.712681
-3.149763 4.997846
-3.07923 4.480448
-3.025472 3.563831
-2.975958 4.55374
-2.989187 5.687578
