"nu" "alpha"
2.560221 0.1038427
2.337835 0.2657973
2.362512 0.4528251
2.787285 0.2704045
2.181641 0.3848623
2.034968 0.1260175
2.520223 0.2715894
2.726037 0.1279908
2.048743 0.4342331
2.518523 0.2480314
2.997423 0.3509514
2.856227 0.3959055
2.317579 0.236193
3.104357 0.0767607
2.409613 0.159361
2.729146 0.4364738
2.098375 0.275161
2.324938 0.4185764
2.407352 0.2778379
2.47326 0.1831165
2.059124 0.434436
1.967641 0.3335957
2.064679 0.3463858
2.345727 0.2022511
2.08068 0.3480848
2.095844 0.3975121
2.184918 0.08894733
2.442804 0.4166762
2.436804 0.472198
2.431329 0.4854521
2.591685 0.4963235
2.077256 0.06901375
2.390557 0.1189859
2.445111 0.4467097
1.965791 0.2229004
2.069948 0.369232
2.450856 0.1948905
2.347247 0.337513
1.949206 0.1617648
2.263259 0.4158578
2.04306 0.2539985
2.097983 0.2138214
2.555723 0.2306948
2.313902 0.4919718
2.416604 0.2365419
2.361606 0.4302225
2.596178 0.1157621
2.073464 0.3505749
2.819246 0.3030253
2.541575 0.3177999
2.315773 0.1857535
2.442408 0.1569058
2.329671 0.4993706
2.033526 0.4675015
2.737938 0.3177214
2.017944 0.3424979
2.513967 0.4400548
2.448612 0.32218
2.816988 0.2532901
2.282271 0.3511973
2.007896 0.04712511
2.153197 0.241534
2.499274 0.4864397
2.237239 0.3321307
2.544349 0.09380216
2.606672 0.2710892
2.673295 0.4740316
2.671963 0.0681266
2.16307 0.3734339
2.304075 0.1974686
2.231312 0.2500552
2.509276 0.334928
2.829549 0.2824035
2.473417 0.2716512
2.613396 0.2514059
2.460211 0.2806461
2.083586 0.4600978
2.537616 0.1777627
2.084062 0.1826957
2.176938 0.4553818
2.307904 0.3858314
2.090132 0.2854142
2.552021 0.1307976
2.349664 0.4617599
2.304584 0.1843394
2.333983 0.2740538
2.187314 0.324947
2.201022 0.2755164
2.239979 0.4047747
1.990242 0.4380313
2.460613 0.3139788
2.116251 0.4868564
2.109205 0.4648696
2.534021 0.4749622
2.007061 0.1228208
2.484542 0.4928808
2.608473 0.2879557
2.53284 0.458284
2.908496 0.4886087
2.520585 0.2214538
2.850539 0.1820085
2.58135 0.1501524
3.083658 0.3192466
2.672563 0.2677302
2.793384 0.4996285
2.26136 0.07694738
2.324783 0.4419802
2.459825 0.2159793
2.406774 0.4686827
2.529217 0.213014
2.556205 0.1673298
2.327675 0.1455485
2.532191 0.152408
2.397204 0.1313342
2.709133 0.3767021
2.572967 0.04606345
2.308969 0.2735505
2.446328 0.09104253
2.756643 0.1649787
2.581333 0.3836124
3.213287 0.09824031
2.68344 0.2964377
2.344308 0.2645579
2.907186 0.2526323
2.636461 0.3499929
1.914438 0.4237219
2.174946 0.3326131
1.910837 0.0941413
1.908093 0.3823414
2.032747 0.2992912
2.065237 0.3914012
2.396291 0.4853706
2.072899 0.03147189
2.275958 0.4802925
2.210679 0.3016784
2.462295 0.2244827
1.869135 0.4580654
2.220581 0.1511451
2.055642 0.2725167
1.871432 0.2318528
2.088258 0.4370691
2.087561 0.2172063
2.316316 0.2051964
2.179502 0.3822159
2.44021 0.4611077
