p_1 p_2 
0.7707708 0.2292292 
0.8028023 0.1971977 
0.8534588 0.1465412 
0.8484533 0.1515467 
0.8532036 0.1467964 
0.8214627 0.1785373 
0.8261987 0.1738013 
0.8628931 0.1371069 
0.8030735 0.1969265 
0.8292782 0.1707218 
0.8040409 0.1959591 
0.8847144 0.1152856 
0.7590618 0.2409382 
0.8391568 0.1608432 
0.8792042 0.1207958 
0.8406524 0.1593476 
0.8014054 0.1985946 
0.8104742 0.1895258 
0.8146541 0.1853459 
0.8394258 0.1605742 
0.8197629 0.1802371 
0.7835052 0.2164948 
0.8083912 0.1916088 
0.8032922 0.1967078 
0.8214964 0.1785036 
0.8346111 0.1653889 
0.816691 0.183309 
0.8142138 0.1857862 
0.8761651 0.1238349 
0.8416557 0.1583443 
0.8253521 0.1746479 
0.8480652 0.1519348 
0.8069935 0.1930065 
0.7987013 0.2012987 
0.8087714 0.1912286 
0.8081632 0.1918368 
0.8102657 0.1897343 
0.7418839 0.2581161 
0.7681957 0.2318043 
0.7697751 0.2302249 
0.7571721 0.2428279 
0.7897438 0.2102562 
0.7935081 0.2064919 
0.8343024 0.1656976 
0.8605018 0.1394982 
0.820798 0.179202 
0.8545806 0.1454194 
0.8401956 0.1598044 
0.8275653 0.1724347 
0.8459681 0.1540319 
0.8371453 0.1628547 
0.8391195 0.1608805 
0.8339616 0.1660384 
0.8017338 0.1982662 
0.7642827 0.2357173 
0.8015763 0.1984237 
0.866771 0.133229 
0.8872987 0.1127013 
0.8874819 0.1125181 
0.8251213 0.1748787 
0.8121257 0.1878743 
0.7654022 0.2345978 
0.7423117 0.2576883 
0.8314168 0.1685832 
0.7941351 0.2058649 
0.7983349 0.2016651 
0.8021027 0.1978973 
0.7848671 0.2151329 
0.8259394 0.1740606 
0.8473416 0.1526584 
0.7903055 0.2096945 
0.7745186 0.2254814 
0.8817069 0.1182931 
0.8444555 0.1555445 
0.797185 0.202815 
0.8592464 0.1407536 
0.8713331 0.1286669 
0.8305917 0.1694083 
0.7858712 0.2141288 
0.7999802 0.2000198 
0.8273079 0.1726921 
0.835798 0.164202 
0.8501019 0.1498981 
0.8090398 0.1909602 
0.779779 0.220221 
0.8583228 0.1416772 
0.8273595 0.1726405 
0.7979771 0.2020229 
0.8890526 0.1109474 
0.8654105 0.1345895 
0.8532035 0.1467965 
0.7746429 0.2253571 
0.88845 0.11155 
0.8150957 0.1849043 
0.8244318 0.1755682 
0.8870615 0.1129385 
