"tau2_1" "tau2_2" "tau2_3"
0.07373887 0.01107724 0.03807012
0.1500184 0.02753517 0.06043975
0.133703 0.03188004 0.03738916
0.3270453 0.0180505 0.03301615
0.260063 0.01593106 0.023999
0.143809 0.01362587 0.04889744
0.169234 0.01497759 0.01736636
0.1800156 0.01884336 0.04007292
0.1331419 0.01955789 0.05013883
0.1333356 0.01177904 0.04564271
0.1702111 0.01530052 0.06502319
0.184447 0.02096116 0.02724494
0.1850179 0.02414238 0.04442717
0.2626665 0.02680324 0.04579096
0.2888236 0.03592221 0.06028417
0.1788363 0.01943087 0.02021031
0.2054877 0.01097773 0.03785146
0.1461187 0.01213429 0.06325589
0.2427519 0.01535803 0.04118727
0.1613517 0.01302394 0.04309419
0.4474594 0.01147547 0.06885512
0.1267318 0.00986997 0.04630516
0.2200386 0.02583553 0.04085117
0.3876681 0.01944514 0.0448643
0.2967322 0.02692774 0.01610801
0.3129339 0.01483757 0.05379692
0.107956 0.02687059 0.03713818
