"Delta_1" "Delta_2" "Delta_3" "Delta_4"
-2.848577 -2.282318 1.066759 13.19874
-2.834614 -2.195986 1.07839 -7.883988
-2.722789 -2.177184 1.057634 3.204593
-2.794905 -2.102245 1.166973 8.795793
-3.125379 -2.058418 0.9948026 11.54266
-3.276133 -2.187171 1.154077 0.5624909
-3.053253 -2.283736 1.155544 9.214125
-2.846189 -2.191576 1.244276 -8.642516
-2.768483 -2.207038 1.249658 4.120268
-2.686771 -2.150911 1.178926 -4.174446
-2.620059 -2.176457 1.232166 -9.236817
-3.058359 -2.142514 1.354654 -7.558959
-2.993014 -2.19479 1.270863 5.164541
-3.079998 -2.191787 1.184413 -28.18497
-2.956913 -2.17778 1.119998 -0.812173
-2.798464 -2.039214 1.108056 -9.563045
-2.930141 -2.024899 1.157277 10.84607
-3.153803 -1.974914 1.213574 -5.096434
-3.095126 -2.035595 1.225171 12.081
-2.895952 -2.046468 1.255203 2.643612
-3.018984 -2.141329 1.161463 -5.065362
-3.062677 -2.269207 1.189761 -21.13216
-3.027612 -2.130738 1.163224 -0.9212766
-2.775408 -2.291765 1.166517 2.843912
-2.635582 -2.124886 1.19694 5.77458
-2.243116 -2.13004 1.191633 -6.124595
-2.666683 -2.208165 1.098095 6.649674
-2.798132 -2.320236 1.065202 -2.214639
-2.580645 -2.151336 1.048986 3.319952
-2.859035 -2.195229 1.043522 8.340964
-2.868457 -2.145806 1.221906 18.85706
-2.97189 -2.114013 1.2606 -3.422163
-3.04692 -1.960891 1.224888 18.61581
-2.964795 -2.097804 1.212459 -7.740252
-3.169162 -2.026068 1.252148 -6.857368
-3.022333 -2.161521 1.23558 4.831994
-2.877743 -2.119234 1.182789 -15.28818
-2.771824 -2.080619 1.173577 -3.824091
-2.888202 -2.116945 1.235659 7.683196
-3.375513 -2.226457 1.196968 11.70004
-2.940909 -2.156957 1.183288 -7.007896
-3.273918 -2.219678 1.192252 -0.8477935
-2.9452 -2.131834 1.139431 0.2335882
-2.657433 -2.153226 1.172938 1.233724
-2.986029 -2.273952 1.18428 6.493865
-2.84481 -1.986656 1.173137 0.3635176
-2.802149 -2.004654 1.100234 -4.40384
-2.911098 -1.981991 1.065637 2.129243
-2.609849 -2.149495 1.115186 4.873492
-2.901169 -2.105805 1.203198 12.18166
-2.870932 -2.158028 1.125386 1.927309
