Delta_1 Delta_2 
-0.01701141 -0.007295499 
-0.03780442 -0.01962182 
-0.01953742 -0.009541272 
-0.02927176 0.0085925 
-0.1309459 -0.01384341 
-0.06528523 -0.00248059 
-0.04912407 -0.01771592 
-0.1106328 0.04181149 
-0.05284081 0.0002671379 
0.02101465 0.003344373 
-0.02051685 -0.002389886 
-0.0916906 -0.02291135 
-0.07856802 0.01124715 
-0.01421015 0.01968742 
-0.01791445 -0.01002392 
-0.02460277 0.03480161 
0.1021888 -0.008263626 
0.06948372 -0.02782226 
-0.1190425 -0.02067764 
0.01447611 -0.008367732 
-0.03304802 -0.01008184 
0.01427717 0.001795173 
0.05558459 0.03021722 
0.102738 0.01493298 
0.1457238 -0.01511681 
-0.09730848 0.000180182 
0.02926292 0.007889026 
-0.008422746 -0.01727298 
0.06756675 0.02008111 
-0.05041219 -0.01239656 
0.004484751 0.01671852 
0.009362777 -0.01866967 
-0.02136161 -0.01994546 
-0.09976009 -0.02776231 
-0.0187911 0.006576716 
0.1714217 -0.01091143 
-0.1872944 0.03404614 
0.01929811 -0.009933873 
0.1400247 -0.01084505 
-0.01474752 -0.01455792 
-0.0344969 -0.01732473 
0.002300532 -0.01748327 
0.03037556 -0.001329385 
0.1240961 -0.001023675 
-0.003693399 0.01564236 
-0.02125448 4.182727e-05 
-0.02629633 -0.01649345 
-0.0479023 0.0145937 
0.05257407 -0.01308781 
0.01141086 0.001061139 
0.1640354 -0.01785272 
-0.02221584 -0.007189426 
-0.0186691 -0.008186386 
0.1505736 0.0105294 
0.1697555 -0.001983131 
0.03472729 -0.003081016 
-0.03789951 -0.03647844 
