tau2_1 tau2_2 tau2_3 
1.242484 0.1033822 0.1983479 
0.1737177 6.145726 0.4040745 
0.7037742 0.2904237 0.263921 
1.582689 0.2941045 0.05696156 
1.1672 0.1315154 0.1198375 
0.7265173 0.236423 0.04702067 
0.2426228 0.07900369 0.07961948 
3.326302 2.205931 0.07884225 
0.06665473 0.1092959 0.2606256 
0.7466671 0.4836459 0.6360299 
0.03495541 0.1857556 0.1466633 
0.8718826 0.1159374 0.1176336 
0.4888692 0.08080213 0.3352312 
0.09543333 0.04127356 0.1400304 
0.4488304 0.1388397 0.400453 
0.7268887 0.1462936 0.1261679 
1.304167 0.41024 0.1204497 
1.18607 0.1588261 0.2960687 
0.03536386 0.3282108 0.3601981 
1.455372 0.04780831 0.2426054 
0.5227137 1.004725 0.1337566 
0.5177484 0.5260686 0.1403416 
0.4382914 0.1081194 0.04227292 
0.9688516 0.07487502 0.06847524 
0.7981343 1.863028 0.3930246 
0.455186 0.06105277 1.149634 
0.2518365 0.1073579 0.2915709 
0.5156604 0.2998928 0.3143885 
0.2635623 0.1123006 0.2119543 
1.222061 0.1329724 0.1827274 
0.6719663 1.88241 0.198769 
0.4885465 0.05463632 0.2284913 
0.03120707 0.09730098 0.3297528 
0.4479245 0.3072387 0.1033082 
0.7644237 0.03825986 0.5154977 
0.2283368 0.1867926 0.5507333 
3.556492 0.1056342 0.2674576 
0.6439091 0.03424676 0.3452456 
1.052419 0.09327167 0.1452387 
2.349511 0.05457991 0.3140773 
0.175187 0.1646924 1.335272 
0.2417211 0.20821 0.4589539 
0.3485084 0.1223619 0.2492778 
1.500014 0.06207004 0.2744733 
0.1525746 1.273225 0.08517329 
1.984365 1.416018 0.1289155 
0.747818 2.17743 0.2553975 
1.30098 0.06434234 0.1406939 
0.2864784 0.702414 0.1222066 
3.184654 0.02828406 0.459281 
1.238408 0.05454395 0.1513019 
0.5184584 0.08538766 0.2580239 
1.045398 0.3414017 0.1422116 
0.1223117 0.1210295 0.09931122 
0.6140445 0.5990379 0.520759 
0.4119718 1.046629 0.08752836 
0.3670953 1.087978 0.06188483 
0.587588 0.3750582 0.3900068 
0.4879654 5.535863 0.1161754 
0.6738703 0.9180593 0.06434042 
0.3153619 0.7359526 0.211463 
0.2509002 3.119192 0.09965473 
0.6121676 0.3183603 0.2750913 
1.008599 0.5529937 0.3642427 
0.4242882 0.04519223 0.4880776 
1.156737 0.2153984 0.07968021 
0.05989086 0.07664646 0.1396634 
0.9299967 0.3381925 0.05226557 
2.660701 0.01952993 0.2356842 
1.056228 0.9626071 0.2535868 
1.489062 0.1914238 0.257069 
0.5018115 3.656219 0.106756 
0.4319277 1.321226 0.1038168 
0.3537764 0.03912775 0.144364 
0.9166493 0.03266833 0.1446092 
0.8102125 0.07151575 0.2089822 
0.05288946 0.3892332 0.1836897 
0.8915131 0.2963106 0.1774335 
0.1379844 0.164271 0.1575387 
0.1110431 0.6113289 0.3408965 
0.2597947 0.02048183 0.03760534 
0.3337943 0.1542426 0.2095904 
0.7910537 0.128502 0.4526939 
1.223554 0.0202747 0.1245804 
2.1605 0.2849813 0.0912675 
0.2718859 0.04704923 0.3458634 
0.9974849 0.008986912 0.5963748 
0.9663745 0.0551586 1.100468 
0.7683159 0.5734689 0.1613875 
0.3534729 30.94432 0.3517857 
1.152203 0.1436689 0.1486083 
0.2051902 0.3860385 0.1732513 
0.7535742 0.05505141 0.04858424 
0.3557445 0.8070458 0.1822554 
2.193619 0.04107571 0.1904801 
0.5085913 0.1543578 0.06142032 
0.2932663 0.06833521 0.1643649 
1.528544 0.2824868 0.07010497 
0.6244462 0.04139244 0.1974037 
0.09032741 0.2009649 0.1845321 
2.711577 0.07010309 0.3925147 
0.8684449 0.05022083 0.08404258 
0.3654157 0.1036175 0.2048489 
1.0091 0.05320247 0.05635792 
0.3918029 0.150941 0.3147137 
0.4365281 0.03436385 0.08729616 
0.1226375 0.2014854 0.1236917 
1.195431 0.07222864 0.0641102 
0.4007796 0.05992946 0.1848593 
2.987502 0.03942386 0.07861049 
0.511338 0.3016182 0.08123135 
1.004353 1.221717 0.0799928 
0.9835809 1.372039 0.3378448 
1.055728 0.0888978 0.200217 
0.2371327 0.7047977 0.02971197 
0.1524216 2.319326 0.1319852 
3.653491 0.2667434 0.1170063 
1.491644 0.4933689 0.123799 
1.765174 0.1016213 0.1311676 
0.3492547 0.1946075 0.2541056 
1.225491 0.100549 0.6828898 
0.1973209 0.06325072 0.1828859 
0.4207756 0.2798092 0.07090915 
5.959568 10.0721 0.3835058 
0.5153078 0.4056557 0.2336428 
0.4765069 0.1865618 0.5840522 
2.181064 0.4148771 0.1539415 
1.705799 0.118989 0.2207598 
1.565981 0.3785357 0.4075517 
0.1744447 0.08749093 0.3965822 
1.84848 0.05271808 0.2687931 
0.9380438 0.3175632 0.167668 
0.07134872 0.1605861 0.04592187 
0.2922825 0.09424319 0.3060514 
0.06720139 0.2806363 0.196835 
0.1826561 0.1646045 0.07817687 
1.112211 0.6179661 0.6077161 
0.5854997 0.6857533 0.3288247 
0.2064888 0.254516 0.1186918 
0.5845242 0.03496917 0.4179514 
0.9831261 0.0584203 0.6325271 
0.560527 0.1368309 0.1091131 
0.4512707 0.07451092 0.3062995 
0.4109064 0.1198313 0.4919861 
1.151669 0.03552089 0.3402012 
0.6325718 0.09318014 0.7826412 
1.142395 0.05316928 0.3511279 
0.05093402 0.08295395 0.1984095 
0.7817985 0.1914601 0.08248323 
0.1615915 0.2535697 0.06497562 
0.2523969 0.4839891 0.1732108 
0.873032 0.05606927 0.1289811 
1.443625 0.06089395 0.1638796 
0.7312348 0.09310371 0.1528086 
1.036637 1.423734 0.2425213 
0.1650811 0.05584614 0.1681177 
1.43927 0.04802394 0.3794898 
0.09590072 0.3315493 0.4682075 
2.021131 0.06131621 0.1975543 
0.5163741 0.1217324 0.0390036 
1.1397 0.1857519 0.1623986 
0.428869 21.59737 0.1660521 
0.3264055 0.1250929 0.4683852 
0.878578 0.04490306 0.2555656 
0.6554631 0.387632 0.6167655 
2.606905 0.0304923 0.2946662 
0.6896465 0.3964167 0.1258567 
0.4322795 0.03258023 0.2242337 
0.1054844 0.9250345 0.2989211 
0.1950882 0.07123095 0.9495139 
0.4843795 1.72872 0.1852104 
1.716098 0.3494725 0.2843283 
0.311308 0.3973034 0.1134184 
0.5197141 0.08612419 0.2642156 
0.8154729 1.601592 0.4379985 
0.7634918 1.011014 0.1254795 
