"comp1" "comp2" "comp3"
5.269915 0.02377263 0.1086667
3.551377 0.01432684 1.103646
0.1761422 0.02813309 0.5068599
0.193611 0.01729892 0.413104
0.08151556 0.02806138 0.4688438
0.07868015 0.008533474 0.05301856
0.1716439 0.01760061 0.5281162
0.1584236 0.02965824 0.2307778
7.65799 0.023059 0.09505544
38.13787 0.02442823 0.5386556
2.0875 0.03633717 0.7058303
7.828178 0.01360023 0.3153186
10.32401 0.04084215 0.2657001
1.169441 0.03408157 0.1856436
0.6028912 0.04117597 0.1794899
0.6822253 0.01897711 3.238889
4.57462 0.04056125 0.1337102
4.280197 0.007798707 0.718997
0.5517096 0.02820556 1.012457
8.252356 0.01265315 0.3734638
1.313655 0.0613914 1.206311
198.1322 0.01224192 0.0759692
33.77241 0.02941383 1.212813
14.91517 0.02459429 0.1517941
28.02625 0.02922973 0.2334137
