beta1_1 beta2_1 beta1_2 beta2_2 beta1_3 beta2_3 beta1_4 beta2_4 
11.00848 -4.456734 -0.0257385 0.9907797 3.478456 -7.295732 1.93913 0.03445762 
-2.958105 1.186397 -0.02648915 1.007953 -11.36668 -2.475451 1.893655 0.05320847 
8.152471 -2.800418 -0.06581411 1.013199 -15.18067 -8.280977 1.908853 0.04483558 
-3.45629 -0.5508567 0.1532124 0.9255968 10.60514 -0.2875806 1.88942 0.05368512 
7.85356 -0.5708748 0.100644 0.9359862 1.454155 -16.59404 1.956433 0.02071268 
6.623608 -7.49945 0.08333268 0.9460931 -9.457864 7.440085 1.875964 0.05743728 
0.6172552 30.65489 -0.2007425 1.063692 5.484158 3.346815 1.909823 0.04612118 
-9.987681 1.765896 -0.07129741 1.019953 -3.608575 2.674628 1.937185 0.03654455 
10.42703 -20.55542 0.01688597 0.9900896 -6.398778 1.309464 1.954049 0.02754691 
-5.120682 6.26165 0.05362176 0.9411135 -1.014785 -2.945957 1.941368 0.0329335 
12.54708 -1.836894 0.08516887 0.939118 6.936452 1.675282 1.882319 0.05696 
2.551758 -4.604308 -0.03854735 0.9919721 -11.10624 18.35041 1.927726 0.04165311 
13.67136 -5.597667 -0.1120466 1.014253 0.755803 0.8176415 1.913216 0.04489756 
-10.00088 -14.67131 0.04931574 0.9624134 -0.3832329 11.10813 1.896344 0.05121609 
0.5183322 -6.514361 0.09065403 0.9385547 -4.421364 -15.92901 1.918114 0.03789005 
-1.44796 -13.14804 0.1317326 0.939532 -4.891489 -5.244115 1.846241 0.06957467 
10.3837 -24.18053 -0.02916095 0.9800654 -17.73672 -8.86006 1.937759 0.03360707 
14.6373 -3.754466 0.008907096 0.9784725 -13.32471 -7.459069 1.943303 0.0282531 
1.070921 -12.29371 0.04793303 0.9814995 0.381492 -18.91823 1.919026 0.04107514 
-4.243162 4.999538 0.1192881 0.9196801 -10.95903 -6.061877 1.874977 0.06104151 
-8.378441 -4.117887 0.1639836 0.9215893 3.387425 7.82351 1.952849 0.0283965 
