tau2_1 tau2_2 tau2_3 tau2_4 
0.2547523 0.008700622 169.4483 0.00217864 
0.4622049 0.01245893 71.61176 0.003835703 
3.139202 0.004820797 4699.837 0.004073707 
70919.15 0.008751804 0.1111755 0.002939546 
6.197514e+12 0.006199722 0.2404501 0.003390701 
5.931413 0.009398744 4292908 0.002324332 
97313579 0.008014641 7.153549e+16 0.002902752 
469226881 0.02615953 1804.086 0.003640759 
38132065396 0.0133461 23060.93 0.003555617 
439019139 0.009482142 1465699 0.003741753 
29692036649 0.01255771 0.2988919 0.003435288 
757.6417 0.01064932 76.13239 0.002876959 
70.17425 0.01402941 386.6814 0.003196379 
14.72124 0.02063644 0.221354 0.003268814 
968.0738 0.01634784 143.0672 0.003232427 
40.68519 0.01814842 19675432433 0.003275144 
489575.7 0.007483433 0.09025287 0.003108876 
103363086 0.01014466 34.90234 0.004613535 
0.2330572 0.0107648 71.14814 0.003100085 
10.06342 0.01190374 125853652 0.003350814 
146.1661 0.005585424 222.5572 0.002980212 
38.80774 0.01159906 0.640517 0.004515265 
6100.049 0.009499804 15416.05 0.002225177 
491223.2 0.003757081 15.98074 0.003180265 
0.4288032 0.01898619 6.237512 0.003601603 
3.269599 0.008986538 1.595588 0.002970451 
0.4687642 0.01449543 22876.34 0.003389994 
12.72063 0.01308345 1.966386e+15 0.002987621 
0.1231847 0.01778457 29188.45 0.003495593 
4.656518 0.01350368 1483.99 0.003565718 
2547238 0.02583432 0.05621827 0.003800499 
0.08599096 0.003280471 0.07974898 0.003426077 
64599311 0.0132565 0.02975505 0.00265603 
6037192 0.004308318 1.700913 0.003426177 
66.46445 0.01259337 8375.996 0.003288019 
0.3347773 0.02896432 138.9696 0.002346672 
5.609278 0.01824901 1973.693 0.003091274 
37.35638 0.01183426 2.924443 0.003120531 
0.6932424 0.009990797 2.967979 0.003032215 
1958.46 0.005433982 17380.9 0.002889102 
0.2281454 0.02203747 3040094 0.003196891 
1.29975 0.01437294 0.06099076 0.003452173 
6380367 0.01636161 136.1231 0.002703893 
2721.058 0.005789384 5.146998 0.002512066 
687.3512 0.006875156 11.68655 0.00284295 
0.181275 0.009887368 83.97473 0.003522315 
0.1024693 0.008211722 10208374 0.002703275 
5.270746 0.008427675 254.7003 0.003577219 
0.05400885 0.00450634 144.2305 0.003188059 
1.058085 0.01236175 4.937847e+16 0.00230639 
0.1305824 0.01738454 0.07551004 0.003032235 
24997300 0.006736584 3511305 0.002885946 
12930983454 0.005498064 43061.95 0.002427726 
0.1485377 0.01015662 1.890016 0.003184516 
0.4873032 0.005352226 0.09460795 0.003577252 
0.327451 0.008258671 59560727576 0.00231002 
3.437438 0.01664569 53752469 0.004158191 
36568.34 0.01743017 3.48257e+11 0.003095643 
128.6511 0.01829088 379.3437 0.003587952 
486.1513 0.006809176 356.9841 0.002938436 
12.93458 0.005137347 2.212402 0.003218396 
13.0435 0.007263373 1.530825e+13 0.002824663 
8.490469 0.007429867 0.4557693 0.003946813 
3.465093 0.009758512 71.42815 0.002810942 
19.31764 0.01528922 1130.803 0.003048084 
8.838223 0.009195068 5.679872 0.002572907 
50.51327 0.007827389 4576834820 0.003114579 
367906688 0.01190505 1.282124 0.002712043 
0.4682024 0.02273696 1258680 0.002883435 
15715.03 0.02550279 14526.23 0.003101593 
13.52735 0.01998212 2057.708 0.003222661 
24764.1 0.01148069 0.02771949 0.003364404 
16.66967 0.01172644 7569811 0.002799789 
1544.444 0.01362334 0.2301296 0.003581729 
0.6825843 0.01020794 2204.629 0.003402202 
0.3319416 0.003991682 847031.5 0.003037189 
3.482977 0.01909534 0.264848 0.003031479 
205.5279 0.02526923 0.290059 0.003178003 
4927422668 0.02341811 1.557956 0.002981278 
0.4976935 0.02451219 0.2375867 0.002991907 
21.67839 0.01555526 1.065845 0.002726326 
0.5884255 0.0233427 78251.36 0.002878697 
4.440666 0.009538958 1.258402 0.002503708 
11956792 0.01000699 80.02877 0.004013389 
2.670588 0.006738517 375.2795 0.002139719 
71503645777 0.009751914 478.5239 0.002653639 
0.2339317 0.01170194 0.03581768 0.003077068 
27.44025 0.01110527 0.0724575 0.002891456 
0.9618188 0.01123982 5245558201 0.003338922 
365884.6 0.01180034 1.596938 0.003694347 
626.3032 0.005243739 0.4101013 0.003726497 
1.321994 0.0203288 0.1433835 0.003142901 
0.2453399 0.009852717 0.7389033 0.002102349 
0.4946829 0.0153721 27.06242 0.002483931 
7.143394 0.01009511 15547116 0.003144878 
0.0475758 0.01284938 73.88132 0.003264871 
460.3886 0.007938395 1.179453 0.002624742 
436390.4 0.009919439 8.699853 0.002869267 
197.5724 0.01054575 16.6192 0.003075715 
125.0024 0.004336785 0.07719454 0.002871524 
54.47023 0.009510651 58.25599 0.003681198 
50373.38 0.01524696 374848.3 0.003052324 
14656724508 0.00835606 1.068337 0.003119844 
0.1547359 0.007155937 7.706646 0.002785269 
9961.51 0.02267709 3668393 0.003142534 
0.3014783 0.01123155 229.6835 0.004423971 
18830.68 0.01698684 0.05678279 0.002348168 
0.5863174 0.01095986 0.2003726 0.002861619 
3380196770 0.0111359 0.386819 0.002738051 
7.414702 0.006382842 0.06286192 0.003092768 
32.56614 0.009516359 0.9031409 0.004109004 
39.56725 0.01487186 1604.49 0.003181926 
2.160296e+15 0.009014194 53672.5 0.002984571 
161.6576 0.01079756 325303.2 0.003123692 
446037.5 0.006345683 379.9468 0.002810848 
105226.6 0.0177834 5.401526 0.003248673 
1062.216 0.03205776 12.39452 0.002942222 
1.174868 0.007599564 1.075835e+13 0.002854612 
0.07934426 0.02265297 11.08676 0.003011342 
0.09652251 0.004286837 4.183948 0.00303201 
0.4824462 0.01055784 208 0.003161691 
0.3663081 0.02394515 3.215074 0.002501711 
7.087531e+13 0.01442157 97.07806 0.003299166 
12.01088 0.01817165 528942.9 0.003129135 
49.24848 0.02016968 0.07559041 0.003154549 
27.32613 0.01582558 12353.05 0.003144142 
506.7604 0.005266446 0.06407013 0.002513297 
1.118239 0.01538783 56164122 0.002554026 
0.3813103 0.02040947 0.3123569 0.003568949 
12.33137 0.03084145 0.5404956 0.003199305 
1.40159e+11 0.02103075 22618094 0.003391773 
0.9605946 0.01166272 6868.499 0.002803254 
54.1076 0.02163723 3.914152 0.003096557 
0.1773227 0.01016216 178.6365 0.002804806 
387.2088 0.01538324 80.03125 0.002163316 
0.1040595 0.02235815 4.775744e+20 0.001824877 
0.04404099 0.01740936 3.419269 0.002931832 
1054778142 0.02167621 0.3407928 0.003347082 
470942.8 0.02156422 23427792 0.002862243 
2.116589 0.01500045 176.6414 0.003773354 
0.7131876 0.01173072 2.012943 0.003838533 
205.5792 0.01102355 6.435676 0.004106462 
29.07543 0.01625405 12.35154 0.00259971 
181964477 0.006679857 0.288768 0.002211762 
9.104721 0.01245227 596.5904 0.002394204 
3906107 0.0223999 16.18354 0.002829585 
5.877987e+14 0.008976758 71.21939 0.003019578 
17850569 0.01158132 0.2069137 0.002729486 
37.8559 0.01335018 0.6301956 0.003841314 
93466.95 0.0151507 3.629163 0.003145079 
84292788 0.02437361 0.2747041 0.003771242 
0.4241964 0.02009409 0.1895299 0.003306009 
24.35384 0.007626958 0.9412948 0.002844072 
0.4004449 0.01677592 246400607663 0.003264426 
0.04790731 0.005797236 1883790 0.002919716 
0.6554458 0.01812471 139038420 0.003071617 
0.08530222 0.01366764 14936.1 0.002789211 
102916.4 0.01552945 1452.158 0.003365136 
375200.7 0.01913239 153322.8 0.003275661 
3996066 0.01638259 18.33363 0.003860041 
84910.82 0.007534008 0.1084077 0.002111407 
3996765 0.008416444 816299 0.002907943 
0.2566091 0.01715862 0.295535 0.003320412 
167.9707 0.01265459 0.3492222 0.00333248 
