"Delta_1" "Delta_2" "Delta_3"
1.171077 -2.183963 -2.64317
1.088846 -2.180118 -2.900573
1.12174 -2.097889 -2.809751
1.111984 -2.146446 -2.688804
1.003002 -2.118344 -2.77633
1.007631 -2.084649 -2.809368
1.037108 -1.837051 -2.924181
1.079927 -1.954273 -2.740773
1.043522 -2.021907 -2.872572
0.9741567 -2.070686 -3.081864
1.024656 -2.17388 -2.839785
1.063781 -2.134219 -2.763541
1.100373 -2.188387 -2.677725
1.049834 -2.061492 -2.742074
1.058443 -2.075465 -2.907976
1.011663 -2.169454 -3.022664
1.040496 -2.172477 -2.959624
1.10549 -2.200945 -2.735721
1.215672 -2.054319 -2.748884
1.211415 -2.097243 -2.942084
1.164848 -2.169945 -2.7433
1.178012 -2.17053 -2.65403
1.250209 -2.127975 -3.293769
1.232853 -2.343207 -3.349698
1.25131 -2.199741 -3.249676
1.220074 -2.080566 -3.271457
1.268178 -2.000644 -2.791081
1.17558 -1.97148 -2.776241
1.125137 -2.088151 -2.76346
1.1034 -2.281927 -2.798717
1.067883 -2.157715 -2.941993
1.004021 -2.19626 -3.234576
1.134597 -2.01177 -3.124089
1.1263 -2.120507 -2.911123
1.222268 -2.058783 -2.630504
1.266083 -2.003798 -2.746121
1.144436 -1.859304 -2.960671
1.062683 -2.026886 -2.960206
1.11324 -2.065792 -3.11333
1.128183 -2.109444 -2.98204
1.096431 -2.135094 -2.640531
1.119554 -2.051289 -2.796934
1.068537 -2.089973 -3.039063
1.052885 -2.03014 -3.073821
1.136662 -2.083139 -2.781041
1.135123 -2.113821 -2.831668
1.041553 -1.981208 -3.367854
1.061693 -2.059304 -2.731287
1.083114 -2.027337 -2.93244
1.061503 -1.951067 -2.923646
1.05146 -1.96264 -2.830098
1.097038 -1.928395 -2.319993
1.117482 -1.950287 -2.603444
1.129246 -1.865185 -2.622772
1.167013 -1.911386 -2.621355
1.244376 -2.027232 -3.080273
1.369864 -1.966035 -2.940618
1.35446 -2.079301 -2.91553
1.153108 -2.190291 -3.32847
1.176114 -2.250175 -2.952358
1.226916 -2.204264 -2.946192
1.279799 -1.96801 -3.212732
1.257783 -1.877118 -3.311818
1.196447 -1.982145 -2.70039
1.166655 -2.085613 -2.951638
1.222237 -1.974412 -3.073997
1.151653 -1.950963 -3.119008
1.228205 -2.053381 -2.852412
1.132039 -2.068617 -2.820111
