tau2_1 tau2_2 
7.495838 0.3690624 
0.21742 0.4843809 
0.1440762 0.587341 
0.1114691 0.1580901 
0.05272181 0.1458182 
0.06554566 0.352405 
0.02374759 0.3943492 
0.3653137 0.4238471 
0.3043766 0.171925 
0.02018287 0.1204133 
0.04474966 0.133347 
0.174665 0.2481253 
0.4754502 0.380861 
27.70149 0.3522552 
3.111799 0.1380388 
0.1032006 0.4248108 
0.5907538 0.07165785 
5.586024 0.3795919 
1.438433 0.1958276 
0.1654632 0.1598479 
0.1516058 0.2307892 
0.05537417 0.3332134 
0.9300167 0.07897566 
0.8765286 0.1146407 
1.867013 0.1571255 
0.950533 0.2275564 
4.078349 0.08048712 
0.1384605 0.319472 
0.08107796 0.1396496 
1.369422 0.3556867 
1.011395 0.07803491 
0.6370316 0.3434729 
0.7363294 0.2620613 
0.2377332 0.499459 
0.9834398 0.3942831 
0.6032294 0.1421637 
0.08383321 0.2856007 
1.882191 0.0798692 
0.2310264 0.1337942 
1.002616 0.06899989 
0.3253022 0.1005468 
0.04150832 0.4186046 
1.593988 0.09834283 
0.2320061 0.103582 
0.1950979 0.09670373 
0.2563147 0.3432262 
1.620057 0.03784842 
0.07227626 0.3821973 
0.1346305 0.2775047 
0.1496199 0.2484525 
0.5219941 0.122116 
0.03199581 0.1262911 
0.3869434 0.02367457 
1.563279 0.2002876 
0.4766695 0.2118791 
3.173207 0.05064825 
0.04867429 0.1213981 
0.08621478 0.6345745 
0.1363257 0.126429 
0.07736796 0.1953826 
0.06694341 0.04375771 
0.8599829 0.09800562 
0.121458 0.1473011 
2.806415 0.302312 
0.6293788 0.7128298 
1.003911 0.0528298 
4.283772 0.3196357 
3.407213 0.4386425 
0.2989176 0.2085215 
0.3596346 0.0534092 
6.844264 0.2004749 
0.1343279 0.1708021 
0.3283383 0.2192755 
1.1892 0.2743571 
0.7631892 0.1663148 
2.267225 0.328825 
