p_1 p_2 p_3 p_4 
0.1256372 0.8302155 0.0337219 0.01042542 
0.1059188 0.7961505 0.07029396 0.02763675 
0.1365746 0.7737606 0.07800135 0.01166345 
0.192034 0.7330749 0.04727064 0.02762046 
0.1083135 0.8206428 0.04941262 0.02163106 
0.1315511 0.8057882 0.04987668 0.01278403 
0.1653814 0.7589587 0.06017871 0.01548119 
0.2052349 0.7308252 0.03914305 0.02479686 
0.110482 0.8323894 0.05579595 0.001332629 
0.1483763 0.8198526 0.01251973 0.0192514 
0.1309765 0.7587945 0.02715353 0.08307551 
0.1229885 0.8380075 0.02268533 0.01631874 
0.09401012 0.8357476 0.06364012 0.006602158 
0.1638153 0.7669765 0.01331033 0.0558979 
0.05434564 0.8632246 0.03380744 0.04862233 
0.1259419 0.7443556 0.1148785 0.01482402 
0.09474515 0.7732811 0.0657927 0.06618106 
0.1282872 0.7546964 0.1094317 0.007584642 
0.1003019 0.8424979 0.04394603 0.01325418 
0.05792709 0.8477866 0.05203465 0.04225168 
0.02204889 0.8577455 0.05881245 0.06139315 
0.02976269 0.7217781 0.06162106 0.1868382 
0.04775434 0.8461851 0.009260178 0.09680038 
0.04501887 0.8038684 0.02086953 0.1302432 
0.1114937 0.7731648 0.004228536 0.111113 
0.06894816 0.7738691 0.01804068 0.139142 
0.04929772 0.7736009 0.0310636 0.1460377 
0.02378932 0.8229335 0.04305418 0.110223 
0.07142029 0.812653 0.005472695 0.110454 
0.03009246 0.8266726 0.001869911 0.141365 
0.02121711 0.7955933 0.0329907 0.1501989 
0.007313885 0.732097 0.06644961 0.1941395 
0.0295291 0.8064723 0.06212399 0.1018746 
0.06351478 0.7867492 0.05861488 0.09112116 
0.02624222 0.7852776 0.06383089 0.1246493 
0.001567395 0.7587236 0.1061475 0.1335615 
0.0216313 0.7355134 0.05580727 0.1870481 
0.005286395 0.8293329 0.0365979 0.1287828 
0.03724684 0.766992 0.05537912 0.140382 
0.02585518 0.8404704 0.05957052 0.07410389 
0.08818316 0.7399949 0.06416629 0.1076557 
0.0120297 0.8593954 0.01742467 0.1111502 
0.03609414 0.7426658 0.01924335 0.2019967 
0.116359 0.7508273 0.001110281 0.1317035 
0.04860479 0.7594867 0.00601527 0.1858933 
0.06193144 0.8299276 0.01028911 0.09785183 
0.1045164 0.7463136 0.001037048 0.1481329 
0.06123563 0.8024808 0.02443841 0.1118451 
0.0586174 0.8169376 0.006917312 0.1175277 
0.04033939 0.7320647 0.05804214 0.1695538 
0.01022179 0.7704345 0.03808981 0.1812539 
0.01922285 0.8015379 0.09056421 0.08867506 
0.02015658 0.8377318 0.03480379 0.1073078 
0.01795837 0.7534933 0.106136 0.1224123 
0.07207659 0.7950364 0.02683752 0.1060495 
0.01058377 0.7179819 0.1276793 0.143755 
0.03544783 0.7975416 0.02768865 0.1393219 
0.09888902 0.661479 0.01698095 0.222651 
0.09816938 0.7613719 0.02883216 0.1116266 
0.0612745 0.8247936 0.02973786 0.08419407 
0.07563815 0.7101344 0.07828996 0.1359375 
0.03468362 0.8213887 0.01116835 0.1327594 
0.063216 0.8552814 0.004734265 0.07676836 
0.04081571 0.7091862 0.01654698 0.2334511 
0.03172563 0.8240566 0.000761876 0.1434559 
0.08222852 0.7512926 0.02504852 0.1414304 
0.02940351 0.8027749 0.005178583 0.162643 
0.03963725 0.7930591 0.004223922 0.1630798 
0.02335525 0.8122068 0.03672663 0.1277113 
0.07135323 0.7946618 0.006577829 0.1274071 
0.05668238 0.819871 0.0003265824 0.1231201 
0.06412044 0.7998092 0.01217492 0.1238955 
0.07803145 0.7998642 0.1187905 0.00331381 
0.077709 0.8196989 0.06739388 0.03519818 
0.0752048 0.7463962 0.1694206 0.008978418 
0.09304373 0.7617067 0.130679 0.0145706 
0.03298301 0.806606 0.1549798 0.005431154 
0.07008549 0.7955054 0.1231843 0.01122478 
0.08696975 0.7566042 0.1165668 0.03985924 
0.0176751 0.7586522 0.1671979 0.05647474 
0.08769564 0.7072628 0.1737862 0.03125533 
0.05293704 0.7404786 0.1813102 0.02527413 
0.04970781 0.6971612 0.1161873 0.1369436 
0.05723145 0.822993 0.08420769 0.03556783 
0.04678889 0.8214938 0.1184158 0.01330148 
0.06513339 0.8003552 0.1182676 0.0162439 
0.04085503 0.816417 0.1307032 0.01202479 
0.03528817 0.733464 0.2138142 0.01743359 
0.05417097 0.7421637 0.1146742 0.08899111 
0.03549444 0.8220066 0.1008992 0.04159984 
0.02264494 0.8449474 0.123448 0.008959626 
0.001438538 0.7749656 0.2052591 0.01833681 
0.01804893 0.7779186 0.1691756 0.03485688 
0.03452306 0.7562907 0.1946881 0.01449817 
0.02610031 0.8077488 0.116708 0.04944288 
0.06165852 0.8097346 0.1252305 0.003376414 
0.1308905 0.8104192 0.05832392 0.0003663181 
0.03149533 0.7234822 0.1828504 0.06217202 
0.02879475 0.7670009 0.1345334 0.06967098 
