"tau2_1" "tau2_2" "tau2_3" "tau2_4"
11.05546 0.04958467 0.07290587 0.2021321
23.98044 0.2193041 0.08161742 0.06847084
16.7765 0.1284842 0.06487858 0.08405186
1610101661 0.04038073 0.2939103 0.1261404
128148576 0.04481425 0.05764107 0.08102741
0.07009487 0.1181277 0.05881584 0.1210637
0.2135986 0.1479961 0.07442177 0.1818768
1.792052 0.1492804 0.1713819 0.1364195
304.4463 0.03192565 0.1849885 0.1205881
0.1023604 0.1111394 0.09081495 0.1181009
5.12362 0.1041454 0.1185625 0.1397321
0.1708587 0.05890115 0.1122482 0.1729139
2.867138 0.04443087 0.01706559 0.132679
1.026224e+16 0.03136687 0.03041962 0.1413017
16.92861 0.04652486 0.08736836 0.1367188
25.321 0.02944192 0.02676225 0.1178302
4.450385 0.01394581 0.06715852 0.1141956
0.2726806 0.02652313 0.1897059 0.1429029
269.479 0.1083022 0.1503613 0.1228082
3.875372 0.05496574 0.08504205 0.1495844
58.34874 0.04463445 0.2505605 0.0953892
980.8737 0.03788983 0.04955089 0.1321994
3.371197 0.03627214 0.2860231 0.1413197
250.2475 0.05084724 0.1070753 0.1242675
160.2038 0.1293007 0.1052027 0.1244805
8.03424 0.1286577 0.05475054 0.1062407
449.0445 0.1002313 0.03974344 0.07615675
27.86732 0.06612863 0.04169323 0.1057163
22.9367 0.03386211 0.09132132 0.1349229
21.01557 0.1293473 0.1012551 0.0831175
0.1548772 0.07153562 0.03293616 0.1018484
0.1657831 0.05211115 0.09177153 0.06710295
218485.5 0.1402816 0.05161715 0.1073067
147.872 0.04893423 0.1134492 0.1579569
0.8884831 0.07142622 0.1154152 0.09111822
0.08903057 0.04246495 0.09059766 0.1021215
0.1668312 0.03166211 0.1851196 0.06226294
0.2574257 0.13144 0.05117647 0.1959397
785.4985 0.2213519 0.1310607 0.1097316
0.1340114 0.1117718 0.1101461 0.1906043
11.92925 0.03303325 0.03777709 0.2209152
465769.8 0.05604428 0.06493592 0.1677687
1.431344 0.1110229 0.1068052 0.0878463
1050.7 0.01400442 0.2087354 0.1245116
711.6913 0.1385876 0.1362389 0.1021581
0.1533834 0.03315054 0.08315383 0.119259
17.48489 0.02325477 0.05251439 0.2118408
2.144931 0.01514549 0.1625769 0.1188814
0.06433889 0.05771078 0.1766379 0.1416421
0.1832599 0.1028461 0.04354992 0.09414135
0.6753293 0.04796338 0.04611228 0.12538
856.4397 0.04117663 0.05450733 0.1327197
247996836246 0.07616516 0.1192824 0.1459126
1373.228 0.03503507 0.04278157 0.2061635
2.01182 0.05639275 0.03916846 0.08355976
1.090996 0.4815553 0.07972707 0.1409568
963.192 0.06415079 0.04485072 0.1775759
95.35067 0.1697035 0.177649 0.1620504
