"res" "LCI" "UCI"
-0.494053788451943 -0.617680464330189 -0.374135161110813
-0.492619443192629 -0.616024621218932 -0.373092149818517
-0.491149041402076 -0.614345246178615 -0.370981658101174
-0.48956573456441 -0.613118491371187 -0.369740757041103
-0.48786535745274 -0.612579615619873 -0.36861545811436
-0.48620719566773 -0.611686495497961 -0.367772400532757
-0.48439875551663 -0.608823810763005 -0.365333063192071
-0.482295961801074 -0.60701362356639 -0.364113689450594
-0.480189420413217 -0.604404872797195 -0.361501860353041
-0.478322518765913 -0.603200285393939 -0.360007320260213
-0.476516858509342 -0.602626924879215 -0.358412231532071
-0.474581961659562 -0.601059122119942 -0.355987482166695
-0.47272524584198 -0.599609535822113 -0.355134878109664
-0.470692087789951 -0.597634217786681 -0.352524202975506
-0.468848171668772 -0.596404469600404 -0.350759374195029
-0.466930636017747 -0.593871399461655 -0.348528446575776
-0.465026211290522 -0.592504632629588 -0.347051860902027
-0.462671248428858 -0.590595046805154 -0.345398168617743
-0.459977049674248 -0.585777499170877 -0.342670155513815
-0.457576277279582 -0.583184841105613 -0.34121292169712
-0.455294999288323 -0.581265544721173 -0.338293461212674
-0.452730097544882 -0.578539984888168 -0.336908682578408
-0.450011913827072 -0.576194502107501 -0.332868241410547
-0.447718675587103 -0.574337422177991 -0.331113475277967
-0.445383007867311 -0.570799775532331 -0.328777558192097
-0.442850763634516 -0.569751220947474 -0.326004049640251
-0.440468260431926 -0.567283528057342 -0.323654938118002
-0.437989538526019 -0.564179104876985 -0.32131280956137
-0.435009375454841 -0.56062171533383 -0.319323372110116
-0.432118524029036 -0.558474308233707 -0.316179793227676
-0.428783141955049 -0.554507739851731 -0.313004675496347
-0.425957365112099 -0.553183731715036 -0.309446972941219
-0.422672291960448 -0.550047658949655 -0.306470375055025
-0.420199077797515 -0.547378604400081 -0.304569669229605
-0.41794129461934 -0.545808932987287 -0.302604988444531
-0.415879981879362 -0.543453556613133 -0.30112484951133
-0.413419062365904 -0.539831583869396 -0.298723216936041
-0.411049945740878 -0.537441594155305 -0.296392704590992
-0.408974956974401 -0.536029583895782 -0.293993302380404
-0.407343773959628 -0.534632502898413 -0.292298112523501
-0.405140879519547 -0.530812033772999 -0.290514403984761
-0.402656331726593 -0.527198562273665 -0.289077213145637
-0.400245883835257 -0.52537221429632 -0.286765462034128
-0.397992740257783 -0.524371447870057 -0.284811158575329
-0.39569628151466 -0.520594730294104 -0.283194705843531
-0.393449002187726 -0.519560853912112 -0.280393810241855
-0.390963315960068 -0.516858867153355 -0.278199890386737
-0.388550337556663 -0.513139509782935 -0.276154257857166
-0.385881984038689 -0.510685661550026 -0.273334845188161
-0.383473379011479 -0.507664049066319 -0.271112889950141
-0.381211239089781 -0.506132775531357 -0.269735745212185
-0.37878313779487 -0.502285773884 -0.266368507105891
-0.376340971546433 -0.497792929133048 -0.263943430128412
-0.374212999665533 -0.496637163225256 -0.262009884838847
-0.371602615639535 -0.493859127432499 -0.259796737078004
-0.368086837081641 -0.490190636772314 -0.257635695843134
-0.364389213888911 -0.486414735920088 -0.25443060243495
-0.361237493459168 -0.482153389863619 -0.251772908656988
-0.357295886128739 -0.478399556741438 -0.247313685437254
-0.353255915617802 -0.473715746477267 -0.243595018391071
-0.349916564438343 -0.471720981458511 -0.240866328909801
-0.346596313491082 -0.468018046685237 -0.236990865747714
-0.343241382570886 -0.465335024835547 -0.234405177436172
-0.340097404007043 -0.461276774867071 -0.231442957093937
-0.337089967430642 -0.45958979409854 -0.22755724379981
-0.334400542417017 -0.457015146506771 -0.224719958623351
-0.331790923435829 -0.452600114011965 -0.220368539003218
-0.329085084806449 -0.451103624757504 -0.218258621854499
-0.326367602252229 -0.448473749018292 -0.2166770098304
-0.323525182400934 -0.444973224233778 -0.214551488375383
-0.320777210326342 -0.442570277793932 -0.211946747633831
-0.318044540340125 -0.440325733275259 -0.209492554139616
-0.315480995142479 -0.43721951155416 -0.206688786128958
