beta1_1 beta2_1 beta1_2 beta2_2 
18.11076 7.987414 -30.29626 -3.969688 
18.13176 4.991257 -29.99815 -4.051515 
20.08504 4.267071 -32.07196 -3.794592 
18.86554 2.690952 -29.77094 -3.715866 
18.97566 2.414964 -29.94168 -3.939586 
24.412 7.94767 -30.87589 -3.570772 
23.68982 7.316496 -29.85924 -3.719054 
26.45116 5.632208 -30.23755 -4.132499 
22.37329 5.443145 -29.35137 -3.869989 
25.43768 5.381187 -29.95822 -3.847846 
22.19662 3.922727 -31.74163 -3.917935 
23.5149 4.094503 -30.8707 -3.826348 
21.39714 5.468152 -30.98946 -4.019184 
21.15148 7.458486 -31.78931 -4.003019 
18.92988 4.554304 -29.99696 -3.864996 
20.20871 2.958652 -30.62647 -3.671126 
19.25063 4.142656 -30.29699 -3.701741 
19.92485 2.331772 -29.58022 -3.972837 
20.58087 2.10682 -30.03752 -4.116006 
17.78225 7.570751 -30.51655 -3.868011 
19.19097 5.029823 -30.8656 -3.92779 
21.30021 3.077746 -31.98889 -4.070097 
17.1482 3.240145 -29.36616 -3.689547 
17.63501 3.735224 -29.96174 -3.969193 
21.63695 4.347886 -32.64576 -4.000213 
18.39481 4.549947 -29.18822 -3.864125 
19.7649 7.25769 -30.29551 -4.051562 
