"beta1_1" "beta2_1" "beta1_2" "beta2_2"
18.21338 3.782993 -30.12363 -4.000751
18.3289 3.858423 -30.03971 -3.887808
19.29194 4.099791 -30.22346 -3.890544
18.76202 4.119052 -30.60498 -3.963194
18.52131 4.169734 -30.35494 -3.954313
18.16874 3.966548 -30.45123 -3.899655
19.13981 3.766505 -30.7769 -3.897097
18.18016 4.173918 -30.31461 -3.842229
18.68911 3.686332 -30.05208 -3.907105
19.25099 3.682451 -30.25551 -3.915805
19.2049 3.278033 -30.3559 -3.911565
18.75388 3.84612 -30.09335 -3.914425
17.97473 3.950091 -30.45027 -3.879512
18.12829 3.704376 -30.27285 -3.938425
19.86564 3.930226 -30.76287 -3.890012
18.02366 3.495755 -30.33282 -4.025959
17.81711 4.119764 -30.41939 -3.923261
18.33749 3.855779 -30.29701 -3.92378
18.55866 4.019361 -30.44813 -3.863692
19.79265 3.902033 -30.73413 -3.948627
18.19739 3.730311 -30.41792 -3.898954
19.3458 3.997026 -30.45903 -3.911945
18.44017 4.056919 -30.5644 -3.853449
18.43729 3.579034 -30.25424 -3.896773
19.22627 3.549655 -30.25198 -3.999481
19.24734 4.093834 -30.43286 -3.946973
17.89713 3.748739 -30.32727 -3.884223
18.5964 4.077798 -30.48938 -3.914274
18.39589 3.983538 -30.2506 -3.850623
18.49322 3.934904 -30.27009 -3.873249
18.18346 3.743616 -30.19016 -3.955201
19.30002 3.944162 -30.46245 -3.99649
18.76721 4.079432 -29.88735 -3.863519
18.65385 3.888534 -30.03135 -3.955828
19.21699 3.847467 -30.33472 -3.900652
17.96105 3.952048 -30.13641 -3.899563
17.92309 3.479025 -29.88269 -3.90516
18.46238 3.772214 -30.43359 -3.925157
17.74938 4.099951 -30.73292 -3.891968
18.20858 3.83962 -30.07559 -3.966452
18.75615 3.894376 -30.23131 -3.951869
18.42906 3.846206 -30.09175 -3.85833
18.99795 4.114949 -30.40903 -3.90508
18.00352 3.834787 -30.71793 -4.016658
18.02341 3.87608 -30.50669 -3.938938
18.57495 3.830563 -30.33293 -3.948882
18.80562 4.116845 -30.39063 -3.945825
18.05568 4.004145 -30.35075 -4.007733
18.04278 3.901086 -30.13681 -3.906612
18.26582 4.277754 -30.20995 -3.782044
18.91214 3.967453 -30.42331 -3.993013
18.82886 3.759902 -30.6229 -3.926953
19.04674 4.243709 -30.44769 -3.94033
18.7267 3.916544 -30.1878 -3.890222
18.52673 4.416192 -30.20523 -3.917523
18.95389 4.023311 -29.98843 -4.007352
17.91126 3.703316 -30.12787 -3.857445
18.88717 3.848368 -30.42949 -3.932756
19.19453 3.512215 -30.1437 -3.913274
19.01014 3.923543 -30.33897 -3.89621
18.4225 3.585332 -30.19854 -3.853476
18.08344 3.686021 -30.33133 -3.912975
17.39668 3.956957 -30.29823 -3.970989
18.24843 3.397154 -30.43496 -3.896979
18.2208 3.951657 -30.20648 -3.88741
17.85999 3.860188 -30.4145 -3.936493
18.52745 3.977851 -30.74197 -3.925363
19.19608 3.80468 -30.35379 -3.911741
19.33505 3.58722 -30.16997 -3.942905
19.3422 4.185091 -30.21808 -3.929345
17.81677 3.535382 -30.20544 -3.858741
18.66429 3.834328 -30.35331 -3.91585
17.97606 3.573827 -30.15293 -3.925913
17.96156 4.123013 -30.2611 -3.979196
18.03398 3.76082 -30.40273 -3.927928
18.55871 3.882538 -30.33171 -3.906653
18.3029 4.197023 -30.40027 -3.970277
19.45036 4.002593 -30.45086 -3.921568
18.61921 3.733403 -30.41612 -3.975805
18.15964 3.438298 -30.17616 -3.942752
18.45547 3.430486 -30.12997 -3.951631
18.47803 3.995915 -30.22921 -3.917076
19.13644 3.611432 -30.26979 -4.023979
19.33344 3.686629 -30.31589 -3.870627
18.53016 4.214732 -30.57144 -3.877708
18.43528 3.756312 -30.37092 -3.91022
18.15891 4.036695 -30.66348 -3.84495
18.35575 3.510949 -30.05952 -3.944291
19.87083 4.233935 -30.36722 -3.961311
19.08739 3.833989 -30.1222 -3.972436
18.76731 4.206332 -30.68196 -3.943765
18.12419 3.527269 -30.69863 -3.908954
18.48373 3.803219 -30.50478 -3.797061
18.45505 3.562112 -30.6113 -3.862043
19.21515 3.650136 -30.10779 -3.930482
19.58255 4.2605 -30.37393 -3.953602
19.31098 3.853116 -30.04575 -3.857478
18.17723 3.677311 -30.03266 -3.835347
18.10664 3.983005 -30.44955 -3.975344
18.45652 3.785463 -30.71776 -3.928085
18.89955 3.877952 -30.46773 -3.859503
18.7174 3.907199 -30.26767 -3.954083
20.2745 3.503069 -30.51111 -3.921124
18.54147 3.547869 -29.89819 -3.908108
18.80866 3.594721 -30.14628 -3.882863
18.5947 3.76005 -30.16874 -3.871409
18.18129 3.482606 -30.25437 -3.868109
18.07697 3.671382 -30.20469 -3.978899
17.85741 3.814306 -30.081 -3.830821
18.60818 3.664164 -30.48389 -3.877628
18.58044 3.716909 -29.9833 -3.916011
19.12733 3.916123 -30.42729 -3.900809
19.13263 3.786781 -30.44774 -3.92839
17.96949 4.160732 -30.09676 -3.936665
19.03719 3.70092 -30.22652 -4.003129
18.54485 3.917162 -30.06377 -4.024912
19.30973 4.134428 -30.11715 -3.966769
18.71882 3.871375 -30.24809 -3.843066
18.30099 4.146 -30.40569 -3.906462
18.70536 3.674176 -30.31558 -3.865434
18.61061 3.778026 -30.59838 -3.929858
18.27164 4.124509 -30.57951 -3.936219
17.94295 4.103325 -30.21572 -3.894927
18.41602 4.056771 -30.41702 -3.869051
19.21863 3.707303 -30.18877 -3.867052
18.86586 3.930021 -30.24404 -3.876365
19.13999 4.025856 -29.86717 -3.974973
19.05711 4.336634 -30.05468 -3.905773
18.84603 4.474345 -30.28444 -3.893758
18.96303 3.596738 -30.11308 -3.998886
18.82972 3.840637 -30.23566 -3.916526
19.16661 3.89762 -30.0784 -3.965612
18.61164 4.662531 -30.55383 -3.951802
18.06773 4.040771 -30.39774 -3.847755
18.6601 3.862412 -30.1108 -3.910715
19.03586 3.973501 -30.14864 -3.934435
18.69955 3.693391 -30.35778 -3.890992
19.21934 3.606369 -30.35089 -3.852096
19.47788 4.432603 -30.41642 -3.925899
18.9816 3.503773 -30.2841 -3.926668
18.58263 3.874064 -30.35967 -3.896376
19.03567 3.732948 -30.14699 -3.899675
18.97122 4.01814 -30.20067 -3.847108
18.45877 3.370362 -30.12445 -3.857861
17.77423 4.004797 -30.33498 -3.913171
18.84454 3.672075 -30.19872 -3.845633
18.54588 3.416795 -30.33316 -3.871653
17.65035 3.920728 -30.34734 -3.82585
17.65519 3.870627 -30.36008 -3.970185
18.40618 3.947084 -30.23735 -3.943318
18.59758 3.922244 -30.53148 -3.785267
18.31569 3.849289 -30.38562 -3.844495
18.43968 3.600992 -30.2044 -3.827188
17.57315 3.796374 -30.55884 -3.920287
18.34816 3.880026 -30.21755 -3.903698
17.96616 3.609215 -30.44485 -3.971439
18.23507 3.922031 -30.34339 -3.887875
17.92233 3.396652 -30.35636 -3.978704
18.62733 4.141842 -30.49456 -3.952569
18.57131 3.932209 -30.23455 -3.996117
18.18362 3.748142 -30.17702 -3.881996
19.27462 3.264469 -30.31652 -3.891554
18.51437 4.077041 -30.26869 -3.992204
19.09549 4.04244 -30.07626 -3.850943
18.25947 3.877047 -30.15604 -3.99771
19.35446 4.334916 -30.67116 -3.852336
18.74941 4.082679 -30.33022 -3.866987
19.27954 4.286477 -30.41332 -3.915571
18.1934 3.693613 -30.20116 -3.943265
19.00427 3.542377 -30.07352 -3.959766
18.63794 3.628225 -30.33703 -3.955584
17.72084 3.994324 -30.44279 -3.821972
18.93308 3.807051 -30.89071 -4.007404
18.88098 3.671549 -30.25439 -3.886208
18.55363 4.128427 -30.48192 -3.876205
18.84561 4.054258 -30.42225 -3.896053
18.76613 3.121449 -30.2292 -3.988434
18.39808 4.218113 -30.48639 -3.995655
18.47354 3.630242 -30.54443 -3.894472
18.16208 3.656118 -30.25808 -3.936007
18.11525 4.0087 -30.39552 -3.881578
17.93336 3.806583 -30.1803 -3.908559
18.96246 3.803855 -30.23019 -3.865303
18.1503 3.599924 -30.33054 -3.803283
19.33664 3.837895 -30.23957 -3.875728
17.45743 3.883365 -30.01807 -3.937867
19.41769 3.905868 -30.40654 -3.928553
19.59397 3.600171 -31.21503 -3.952959
19.32194 3.613638 -30.3906 -3.927106
18.74948 3.633396 -30.56963 -3.968415
18.91676 4.314611 -30.30585 -3.915725
18.50819 3.780449 -30.09512 -3.916965
19.4706 3.513279 -30.11626 -3.912384
18.97479 4.023222 -30.14961 -3.992958
18.95108 4.197938 -30.54568 -3.869782
17.9366 3.571358 -30.1241 -4.005896
18.39843 4.327157 -30.24775 -3.856403
18.46371 3.79101 -30.16683 -4.03642
18.5478 4.212049 -30.10412 -3.882588
18.50194 4.080993 -30.15542 -3.917232
19.00926 4.042736 -30.19056 -3.9044
18.57706 3.949875 -30.04854 -3.991315
18.22178 3.332958 -30.4427 -3.908182
18.75319 3.855352 -30.31994 -3.941654
