p_1 p_2 p_3 
0.294747 0.4004554 0.3047976 
0.335465 0.403581 0.260954 
0.3804343 0.2955924 0.3239732 
0.2718943 0.3788508 0.3492549 
0.2745338 0.4496954 0.2757708 
0.3207963 0.4306138 0.2485898 
0.3305928 0.3830478 0.2863594 
0.3251759 0.4027364 0.2720877 
0.3326668 0.3826204 0.2847128 
0.3235047 0.393254 0.2832413 
0.31411 0.3710995 0.3147905 
0.32986 0.4118658 0.2582742 
0.3351725 0.4097142 0.2551133 
0.2401853 0.414822 0.3449927 
0.3030578 0.491653 0.2052892 
0.3624144 0.3880847 0.2495009 
0.2692628 0.4784862 0.252251 
0.3706488 0.3417306 0.2876206 
0.2443083 0.3678867 0.387805 
0.3411477 0.3186988 0.3401534 
0.3769707 0.3736102 0.2494191 
0.2933394 0.4367158 0.2699447 
0.3476734 0.4298017 0.2225249 
0.3126349 0.4318801 0.2554851 
0.2344298 0.4352068 0.3303633 
0.288119 0.3961443 0.3157367 
0.2675024 0.4795974 0.2529002 
0.2813512 0.390167 0.3284817 
0.3473221 0.4125019 0.240176 
0.2683018 0.4833509 0.2483472 
0.3724234 0.3517249 0.2758518 
0.3132714 0.4218474 0.2648812 
0.3502305 0.3771985 0.272571 
0.3001469 0.4225801 0.2772731 
0.3371049 0.4044563 0.2584387 
0.2878455 0.4628553 0.2492992 
0.312667 0.3271436 0.3601895 
0.3121167 0.4239287 0.2639546 
0.3213776 0.4162892 0.2623332 
0.2854394 0.4011309 0.3134297 
0.2603182 0.4668457 0.2728361 
0.3315957 0.4095239 0.2588804 
0.3195627 0.4147663 0.265671 
0.3555573 0.4241869 0.2202558 
0.3365016 0.3495328 0.3139656 
0.3023994 0.3544858 0.3431148 
0.2954244 0.3622034 0.3423722 
0.288011 0.4130342 0.2989548 
0.278562 0.4390286 0.2824094 
0.3142333 0.4219152 0.2638514 
0.372518 0.3130355 0.3144465 
0.3570065 0.4016391 0.2413543 
0.3018578 0.4523747 0.2457675 
0.2855974 0.4242188 0.2901839 
0.2873655 0.4465375 0.2660969 
0.2202361 0.5588429 0.2209209 
0.353635 0.396159 0.250206 
0.257218 0.4332952 0.3094868 
0.2624701 0.4105094 0.3270205 
0.2702284 0.3780777 0.3516939 
0.3080812 0.4218525 0.2700663 
0.3051542 0.3212358 0.37361 
0.2244292 0.5227645 0.2528063 
0.2246129 0.4788908 0.2964963 
0.3186902 0.3921063 0.2892035 
0.3301406 0.3397457 0.3301136 
0.3172544 0.4566561 0.2260894 
0.2677708 0.4240847 0.3081446 
0.3540143 0.3365107 0.309475 
0.3314873 0.3636777 0.3048351 
0.2958161 0.3972526 0.3069313 
0.3098594 0.4270545 0.2630861 
0.3461578 0.397989 0.2558532 
0.2521496 0.3936107 0.3542397 
0.3060578 0.3895826 0.3043596 
0.298736 0.4080728 0.2931913 
0.2972793 0.4568438 0.2458769 
0.3093916 0.3987431 0.2918653 
0.3186555 0.3194132 0.3619314 
0.3466291 0.2934434 0.3599275 
0.3371407 0.4430534 0.219806 
0.2400043 0.4358039 0.3241918 
0.320737 0.4478201 0.2314429 
0.2803503 0.3425459 0.3771038 
0.2137464 0.5255104 0.2607431 
0.2477596 0.5000587 0.2521817 
0.3535122 0.3453578 0.30113 
0.4025264 0.4232887 0.1741849 
0.3126073 0.4681201 0.2192727 
0.3199284 0.4154644 0.2646072 
0.3035352 0.4180211 0.2784437 
0.3175166 0.3303268 0.3521566 
0.3420539 0.4247575 0.2331885 
0.2884352 0.3372353 0.3743295 
0.3449972 0.4334962 0.2215066 
0.2309892 0.495637 0.2733738 
0.3079411 0.3933879 0.298671 
0.3663753 0.3187944 0.3148304 
0.2523536 0.4187316 0.3289148 
0.3086119 0.4685333 0.2228548 
0.2838501 0.4985162 0.2176337 
0.3917683 0.3527182 0.2555135 
0.3622126 0.3559898 0.2817976 
0.2509392 0.4056584 0.3434025 
0.2970104 0.3940152 0.3089744 
0.301206 0.4476634 0.2511307 
0.3548927 0.3894415 0.2556658 
0.24797 0.4720854 0.2799445 
0.3621671 0.3356327 0.3022002 
0.3540369 0.3857045 0.2602586 
0.3767605 0.3696456 0.2535939 
0.243901 0.4738653 0.2822338 
0.3386494 0.4042994 0.2570511 
0.2865845 0.3867704 0.326645 
0.2530391 0.4505298 0.296431 
0.3281685 0.3701677 0.3016638 
0.2847341 0.3608337 0.3544322 
0.3271693 0.3907188 0.2821119 
0.3379333 0.3912074 0.2708593 
0.2354034 0.4551351 0.3094615 
0.335459 0.4153309 0.24921 
0.3705336 0.3866318 0.2428346 
0.3963118 0.4296586 0.1740296 
0.2914146 0.4636487 0.2449368 
0.2384846 0.4515396 0.3099759 
0.2743723 0.436271 0.2893568 
0.391643 0.3738195 0.2345375 
0.3427212 0.3795777 0.2777011 
0.2580095 0.4420585 0.299932 
0.4094008 0.3288662 0.261733 
0.2258979 0.41003 0.364072 
0.4128696 0.3726203 0.2145101 
0.2621981 0.453177 0.2846249 
0.2927823 0.3983239 0.3088938 
0.242269 0.5201411 0.2375899 
0.2808892 0.3931605 0.3259503 
0.3362124 0.3489606 0.314827 
0.3700526 0.3385989 0.2913485 
0.483914 0.2926776 0.2234083 
0.2576278 0.3901008 0.3522714 
0.2870558 0.4583069 0.2546373 
0.2273904 0.5175677 0.2550419 
0.3055783 0.4157408 0.2786809 
0.3593601 0.3809828 0.2596571 
0.3360297 0.381538 0.2824323 
0.2524915 0.3616949 0.3858136 
0.345643 0.405733 0.248624 
0.2515846 0.4106358 0.3377796 
0.2748592 0.3670323 0.3581084 
0.3239405 0.3622496 0.3138099 
0.3578566 0.3580319 0.2841115 
0.2941319 0.4543805 0.2514877 
0.3925992 0.3755763 0.2318245 
0.3658058 0.3908206 0.2433735 
0.2813264 0.4156178 0.3030558 
0.2958374 0.5038287 0.2003339 
0.310556 0.3144089 0.3750351 
0.3333332 0.3481485 0.3185182 
0.2663158 0.4055264 0.3281578 
0.3294046 0.3721395 0.2984558 
0.3530559 0.407228 0.2397161 
0.3426116 0.4499063 0.2074822 
0.3621676 0.3557713 0.2820611 
0.3130088 0.426503 0.2604882 
0.3437048 0.4346394 0.2216558 
0.3889379 0.3367752 0.2742868 
0.2928161 0.4167476 0.2904363 
0.2350761 0.4841143 0.2808097 
0.2953361 0.4490834 0.2555805 
0.3133902 0.3876863 0.2989235 
0.2350387 0.4836927 0.2812685 
0.3449138 0.3921334 0.2629528 
0.3953541 0.3327869 0.271859 
0.3325757 0.3832826 0.2841417 
0.3440341 0.3895062 0.2664598 
0.2818443 0.455348 0.2628077 
0.3815631 0.3603065 0.2581304 
0.3003275 0.3719602 0.3277123 
0.2340775 0.4842778 0.2816446 
0.2883069 0.3771316 0.3345615 
0.3081152 0.40678 0.2851048 
0.357955 0.4067714 0.2352736 
0.3693051 0.3706444 0.2600505 
0.3330985 0.3605321 0.3063695 
