"p_1" "p_2" "p_3"
0.1715112 0.783752 0.04473686
0.1656869 0.7619062 0.07240682
0.2053737 0.7356441 0.05898222
0.1751989 0.7614425 0.06335863
0.1558799 0.7946582 0.04946187
0.1599221 0.7864962 0.0535817
0.1683254 0.7853721 0.04630249
0.1750649 0.768056 0.05687907
0.1363715 0.80176 0.06186853
0.1708145 0.7707799 0.05840566
0.162603 0.7893239 0.04807306
0.1671468 0.7944253 0.03842792
0.1667133 0.7640082 0.0692785
0.1672396 0.7914792 0.04128126
0.1595006 0.7923391 0.04816038
0.162568 0.7849921 0.05243994
0.1678732 0.7836769 0.04844991
0.1532674 0.7933139 0.05341873
0.1678499 0.7797784 0.05237175
0.1688528 0.7849141 0.04623312
0.152584 0.7975173 0.04989872
0.154117 0.7888732 0.0570098
0.1609875 0.7820993 0.05691319
0.1528883 0.8025839 0.04452784
0.1582183 0.7858215 0.05596023
0.1636012 0.7887475 0.04765122
0.1605609 0.7879359 0.05150318
0.1618679 0.7722252 0.06590691
0.1687892 0.7837487 0.04746203
0.1576624 0.7822298 0.06010787
0.1622663 0.7846785 0.05305521
0.1758285 0.7750593 0.04911225
0.1683534 0.783906 0.04774063
0.161492 0.7843209 0.05418711
0.1778613 0.7677836 0.05435512
0.1705803 0.7663075 0.06311226
0.1662806 0.7715247 0.06219468
0.1737593 0.7847163 0.04152434
0.1732671 0.7759494 0.05078348
0.1636409 0.7914347 0.0449244
0.1805004 0.7674173 0.05208229
0.1840476 0.7687327 0.04721971
0.1601202 0.7949906 0.04488926
0.1870716 0.7646722 0.04825615
0.1890292 0.7553189 0.05565191
0.1392235 0.8161928 0.0445837
0.1433995 0.8057158 0.05088465
0.145942 0.7909487 0.06310928
0.1733818 0.7736718 0.0529464
0.1586863 0.7958342 0.0454795
0.1688781 0.7778933 0.05322864
0.1555023 0.8005874 0.04391025
0.1749622 0.7818333 0.04320442
0.162846 0.7871496 0.05000436
0.1657311 0.780775 0.05349396
0.1672088 0.7787645 0.05402677
0.1692335 0.7690442 0.06172236
0.1651728 0.7767264 0.05810079
0.1460909 0.80919 0.04471908
0.1659411 0.772504 0.06155492
0.1648029 0.7822303 0.05296673
0.1842753 0.7729364 0.04278828
0.1544503 0.7947215 0.05082819
0.1821038 0.7610274 0.05686885
0.1807473 0.7664241 0.05282859
0.1722018 0.7721498 0.05564845
0.1648072 0.7739556 0.06123723
0.1658195 0.7731092 0.06107132
0.1613065 0.7813114 0.05738207
0.1631229 0.7806896 0.05618746
0.1685915 0.7797582 0.05165029
0.1612857 0.7881632 0.05055106
0.1591697 0.789923 0.05090735
0.1621302 0.7888714 0.04899843
0.1826084 0.7530661 0.06432556
0.1581906 0.7858954 0.05591407
0.1636458 0.7900109 0.04634336
0.1493154 0.7971156 0.05356897
0.1638942 0.7825648 0.05354098
0.1805679 0.7878398 0.03159225
0.1689086 0.7816482 0.04944316
