Delta_1 Delta_2 Delta_3 Delta_4 
-2.534968 0.8901737 -5.245842 -1.151733 
-13.00353 0.8028525 8.24147 0.872583 
-6.149001 0.8473871 4.643647 1.357747 
0.3210178 0.9332828 1.795606 0.807521 
-4.026487 0.8449748 2.129318 1.939994 
-9.897687 0.8517695 0.816961 1.364181 
4.047624 0.8833976 19.7271 -1.365324 
1.075823 0.6664743 5.341533 -2.235921 
-1.448635 0.7389656 14.81485 1.173781 
-2.766159 0.7884909 1.552155 1.739702 
0.6953181 0.8031645 3.365656 1.94687 
0.6189363 0.7029857 -11.30312 -1.843433 
-0.7419461 0.7954142 2.163674 1.614413 
0.8625142 0.841215 4.235942 -1.146738 
1.752069 0.6375926 -0.8566012 -0.05642797 
-5.698943 0.6581383 1.33003 3.502511 
-11.62032 0.7212023 -0.7265558 17.22278 
12.94827 0.7004475 -0.4599233 4.338615 
2.890789 0.6385868 24.45816 1.409173 
2.654082 1.058817 19.08523 9.302153 
0.5239123 1.080865 0.7726729 -16.56419 
-0.6409553 1.023991 -1.855499 19.86513 
1.799283 1.009269 -1.246392 -17.8313 
0.01338212 1.019877 -4.916773 6.857819 
0.7515333 0.9092053 -3.203123 11.63097 
2.378579 1.003173 12.59463 16.49081 
-1.046299 1.072748 6.263691 -9.387912 
0.9219157 1.228348 0.6370169 -17.92578 
-0.6757392 1.29621 -0.1922346 -2.112983 
0.007793219 1.341595 1.664993 -5.003943 
-1.463161 1.015181 0.04481947 4.66751 
1.883407 1.051142 -0.3848068 -16.59357 
1.144765 1.111197 -0.03797853 4.020478 
1.89752 1.202514 -1.203878 13.97336 
1.188377 0.921313 -0.3676633 -11.92425 
-2.223026 0.8980466 -1.544028 -6.049102 
-4.073513 0.9360614 4.837109 7.050361 
-3.06778 1.018089 18.22508 11.50195 
-2.264475 0.9994014 2.981562 -3.751641 
-4.014406 0.7109725 -8.023342 17.09598 
-8.107742 0.9346244 0.5176355 5.604354 
16.21694 0.8909103 0.552619 14.29436 
9.607304 0.8421448 -0.567447 11.77248 
-6.42842 0.8599576 2.246012 -1.682687 
15.26389 1.16725 2.447404 0.7297101 
19.70287 1.134421 2.513457 -4.494668 
-1.475598 1.558986 0.9628552 1.907931 
-12.04745 1.35005 -1.576268 -0.6822754 
-9.296839 0.9831761 -4.643726 2.281949 
0.01946417 0.8548645 -3.282391 1.420984 
-2.60271 0.8503596 -2.060227 -14.37214 
