"p_1" "p_2" "p_3"
0.3726591 0.3058205 0.3215204
0.3610249 0.3292024 0.3097727
0.3845445 0.3082331 0.3072224
0.3995686 0.3009817 0.2994497
0.406226 0.3205195 0.2732545
0.4006662 0.2975178 0.301816
0.4264828 0.2960332 0.277484
0.380463 0.3303051 0.289232
0.3856455 0.3192299 0.2951246
0.4040049 0.3102584 0.2857367
0.391066 0.2871995 0.3217345
0.4108041 0.296844 0.2923519
0.3987027 0.3038756 0.2974218
0.3882221 0.3065706 0.3052073
0.3914116 0.3046007 0.3039877
0.3902774 0.3242293 0.2854932
0.3795931 0.306364 0.3140428
0.3855121 0.3039237 0.3105642
0.4324835 0.3127954 0.2547211
0.4214431 0.31144 0.2671169
0.3934406 0.3001861 0.3063733
0.4087977 0.3191234 0.2720789
0.4222814 0.2928959 0.2848228
0.4072306 0.3149771 0.2777924
0.3742246 0.3329632 0.2928122
0.3951333 0.3098096 0.2950571
0.4034253 0.3050659 0.2915088
0.3978661 0.3273219 0.274812
0.3674402 0.3228304 0.3097295
0.3749011 0.3290965 0.2960024
0.4036977 0.300531 0.2957713
0.3901031 0.3126549 0.297242
0.3695712 0.3124918 0.317937
0.3857209 0.2837253 0.3305538
0.4119491 0.2945525 0.2934983
0.390252 0.3245263 0.2852217
0.4050949 0.297389 0.2975162
0.4207699 0.3128819 0.2663482
0.4136552 0.2878303 0.2985145
0.3840378 0.3100729 0.3058894
0.3736146 0.3614818 0.2649036
0.3816722 0.2986517 0.3196761
0.3964417 0.3197228 0.2838355
0.3833816 0.3323162 0.2843021
0.4221544 0.3042891 0.2735564
0.3891005 0.3122604 0.2986392
0.4135151 0.2948103 0.2916746
0.3919756 0.2875714 0.320453
0.4101064 0.3107107 0.2791829
0.3969642 0.3011724 0.3018634
0.4048858 0.3137369 0.2813773
0.380337 0.3285662 0.2910967
0.4212924 0.2957856 0.282922
0.3882057 0.3274852 0.2843091
0.4019449 0.3066961 0.291359
0.3966377 0.2941953 0.3091669
0.3836406 0.3286344 0.287725
0.3914797 0.3257861 0.2827342
0.3857458 0.3168025 0.2974517
0.3736109 0.3211727 0.3052164
0.4035924 0.2840707 0.3123369
0.3909566 0.3214877 0.2875558
0.3986387 0.3174826 0.2838787
0.4052173 0.3017909 0.2929918
0.4138104 0.293407 0.2927826
0.3697044 0.3180077 0.3122879
0.4171359 0.2792474 0.3036167
0.3957433 0.3183761 0.2858806
0.3681996 0.3407238 0.2910767
0.407584 0.3149746 0.2774414
0.4384372 0.2952622 0.2663006
