"beta1_1" "beta2_1" "beta1_2" "beta2_2" "beta1_3" "beta2_3"
-24.0675 -4.516864 0.1204835 3.952658 -10.70254 -4.93017
-24.77818 -4.835009 -0.04108966 3.982605 -9.944131 -5.020893
-25.16354 -4.557553 0.03555588 3.959323 -10.05278 -5.116533
-25.55299 -4.572711 -0.02980493 3.998142 -10.40706 -4.976891
-24.92059 -4.771053 -0.07250372 3.990422 -10.18821 -5.128356
-24.89221 -4.417517 -0.05616471 4.002216 -10.27639 -4.923152
-24.63878 -5.099603 -0.05695554 3.973713 -10.48518 -4.962625
-25.22818 -4.980285 -0.02432961 3.961034 -10.65423 -5.088126
-24.44944 -4.66482 0.04574307 4.002383 -10.52934 -5.112392
-24.6771 -4.562363 -0.09309972 3.962795 -10.2896 -4.958593
-25.18655 -3.919056 -0.05821191 3.989509 -10.14287 -4.9897
-25.94761 -4.706975 0.1083158 3.969239 -10.74078 -4.861978
-25.87826 -4.717081 -0.05362412 3.957095 -10.35948 -5.04948
-23.18738 -4.314201 0.05629833 3.964296 -10.54838 -4.959154
-24.2088 -4.900601 0.043334 3.956632 -10.17609 -4.973645
-25.73665 -5.04828 0.01445216 3.980604 -9.96592 -5.070013
-24.82841 -4.443669 0.004900231 3.987594 -10.13254 -5.153254
-23.90454 -4.215263 -0.01051886 3.969584 -10.05575 -5.014985
-24.86966 -5.0297 0.06331102 3.990876 -10.3558 -5.074928
-25.28901 -4.554435 -0.005157221 3.973573 -10.25932 -4.966335
-23.77652 -5.097856 0.04629713 3.963149 -10.34533 -4.928678
-24.55257 -4.503398 0.03459515 3.990035 -10.20291 -4.950549
-25.82045 -4.082633 0.04048715 3.975924 -10.31071 -4.965686
-23.94716 -4.369368 -0.03787964 3.972953 -10.2056 -5.063038
-24.02913 -5.339965 -0.008543227 3.996168 -10.48469 -5.115234
-24.90589 -4.396871 0.02247252 3.982139 -10.03483 -5.034337
-25.00731 -5.067227 0.08546623 3.975651 -9.848361 -4.995773
-24.48415 -4.233551 -0.01119057 3.959338 -10.43203 -5.152642
-24.22398 -5.226424 0.03944993 3.99558 -10.35931 -4.962489
-24.41619 -5.010155 0.03459726 3.988211 -10.58269 -5.069123
-23.79241 -4.580617 -0.02051492 3.953246 -10.31667 -5.16413
-25.47494 -4.493126 -0.04525715 3.988602 -10.01978 -4.945912
-25.23162 -4.528601 0.02260795 3.967975 -10.01394 -5.16198
-24.5725 -4.414746 0.029378 3.957718 -10.19299 -5.058951
-24.56478 -4.348983 0.01650373 3.99879 -10.09238 -5.195593
-24.30195 -5.310799 0.09478071 3.949019 -10.38588 -4.892598
-26.24139 -4.730793 0.1181283 3.969951 -10.64404 -4.987673
-26.8724 -4.309329 -0.02664392 3.97329 -10.45973 -5.0329
-25.02538 -4.699776 0.04234441 3.985717 -10.34679 -5.018782
-24.1701 -4.765991 -0.001344282 4.001926 -10.41769 -5.031407
-23.95976 -4.773446 0.02107137 3.97721 -10.31767 -5.002281
-24.31072 -4.855022 0.07633653 3.980085 -10.28958 -4.931523
-23.8664 -5.237316 0.0278197 3.951116 -10.34221 -4.844602
-23.64631 -5.050233 0.003348122 3.981049 -10.15018 -4.965058
-25.61548 -4.470986 -0.001186264 3.989872 -10.36427 -4.965234
-24.71278 -4.065492 0.001457034 3.966346 -10.30872 -5.073456
-23.88905 -4.476887 -0.02205572 3.998713 -9.714996 -5.002816
-23.65621 -4.683634 -0.01687611 3.998364 -10.02925 -5.087527
-24.85947 -4.251323 -0.03740099 3.977485 -10.49849 -4.991269
-24.21875 -4.563883 -0.03128266 3.965256 -10.14199 -5.130453
-24.22907 -3.960659 0.1030311 3.955225 -10.53168 -5.034495
-24.45992 -4.788076 -0.01379284 3.957838 -10.35779 -5.022385
-24.61175 -3.821013 0.03794276 3.98925 -10.28905 -4.950921
-24.91754 -4.86252 -0.01692389 3.963993 -10.32283 -5.244772
-24.77538 -4.143409 -0.063844 3.977966 -10.14172 -5.048575
-24.76388 -4.477998 -0.0327075 3.990896 -10.16287 -5.134383
-24.229 -4.597382 0.0005501323 3.986861 -10.05439 -4.953651
-23.68522 -5.324596 0.02690143 4.004443 -10.29359 -4.948138
-23.68571 -4.985292 -0.07619906 3.986625 -10.01075 -5.064363
-23.58102 -5.033412 -0.06852092 3.968007 -10.241 -4.941873
-23.799 -4.967503 -0.04150049 3.981191 -10.11038 -5.031235
-23.48991 -5.246567 0.04500789 3.953245 -10.68217 -5.214527
-25.22585 -4.235945 0.03647643 3.990956 -10.30209 -5.11786
-25.06674 -4.119916 -0.06594823 3.991046 -10.16144 -5.103945
-24.89422 -4.584446 -0.002567203 3.970534 -10.04184 -5.123796
-24.49664 -4.310343 0.08698262 3.965716 -10.41749 -4.836108
-24.2888 -4.583773 0.001524412 4.002848 -10.33992 -5.074163
-25.07536 -4.793448 0.02165475 3.981766 -10.62835 -4.976751
-24.25142 -5.496868 -0.00117351 3.972518 -10.29488 -5.03306
-24.68314 -4.465803 0.0486678 3.96817 -9.9209 -5.045081
-23.79419 -3.643783 0.07344817 3.988105 -10.24211 -4.967533
-24.7976 -4.544098 0.08342364 4.019547 -10.25131 -5.099955
-24.53308 -4.777399 0.01179805 3.976739 -10.16052 -5.213644
-23.78537 -5.1141 0.103779 3.985521 -9.683346 -4.991469
-23.54737 -4.175639 0.09774534 3.968141 -10.07905 -4.907922
